,County,Fair_or_Poor_Health_Percent,Low_birthweight_Percent,Food_Environment_Index,Mental_Health_Provider_Ratio,Death_Ratio,Driving_Death_Ratio,Uninsured_Ratio
0,Albany,12.916666666666666,8.166666666666666,6.008333333333333,0.0029708831758517586,0.009785674357150116,0.0003038503235423654,0.050274788681099025
1,Allegany,15.5,6.833333333333333,6.1499999999999995,0.0014831808749357,0.012084911887951322,0.0005291745594397565,0.06099678548877791
2,Bronx,26.666666666666668,9.416666666666666,5.491666666666667,0.0015081154010502917,0.010104885465289199,0.00016472527378008232,0.0983201077782018
3,Broome,15.083333333333334,7.75,5.916666666666667,0.0015373960233516417,0.011684861479509236,0.00034351202669579176,0.058646185129074956
4,Cattaraugus,18.25,7.333333333333333,6.133333333333333,0.0008665308051144602,0.013811730398137812,0.0005830153249742565,0.07481417062554624
5,Cayuga,14.0,6.583333333333333,6.416666666666667,0.0012684815875273717,0.011664786835938865,0.0005333473227713076,0.06280055433147974
6,Chautauqua,16.916666666666668,7.583333333333333,5.941666666666666,0.0014190052189116582,0.01324055868460014,0.0005202743810889075,0.06247666272380937
7,Chemung,17.666666666666668,7.666666666666667,5.833333333333333,0.002262713475762333,0.013664416662705391,0.00043673052241289157,0.05368418342285814
8,Chenango,14.083333333333334,6.583333333333333,6.366666666666667,0.0018527431273952623,0.014146548072850488,0.0007147395171537484,0.065286601722434
9,Clinton,15.0,7.083333333333333,5.7250000000000005,0.001715104844368975,0.011211586070997665,0.0004863711700879643,0.06129529201057075
10,Columbia,13.333333333333334,6.666666666666667,6.325,0.0012346220482592405,0.01284581235450165,0.0006104163282984138,0.06578014184397163
11,Cortland,15.5,7.5,6.175,0.00250973982600325,0.01198843527241912,0.00046109366432381236,0.05627301017610574
12,Delaware,14.166666666666666,6.833333333333333,6.333333333333333,0.0008660971247378334,0.01467567933556017,0.0008651560290090579,0.06875921579248293
13,Dutchess,12.666666666666666,7.083333333333333,6.3999999999999995,0.0023678945511152833,0.00977405368506071,0.00039736046761807884,0.058689943935845576
14,Erie,14.833333333333334,8.333333333333334,5.866666666666667,0.0019888794626837917,0.01167137898800716,0.0002754385008879704,0.04982004801048518
15,Essex,11.833333333333334,7.25,6.425,0.0018286648499006583,0.012720365961317247,0.0006353495091089056,0.06399641529119071
16,Franklin,16.083333333333332,7.416666666666667,5.641666666666667,0.0018872736081939417,0.012511828409210389,0.0005975537097395998,0.0821680159814951
17,Fulton,17.0,7.333333333333333,5.991666666666667,0.0011780138651778917,0.013527367289275624,0.0005313429850223788,0.06589434401020179
18,Genesee,14.166666666666666,6.0,6.483333333333333,0.00109706649787565,0.011750416752300702,0.0007207531227877875,0.059418601995843895
19,Greene,13.583333333333334,8.166666666666666,6.191666666666666,0.0006460698056090417,0.014202708059502201,0.0008188854812125764,0.06273949357757332
20,Hamilton,13.857142857142858,5.428571428571429,7.7,0.0005098927103044142,0.009510755545609668,0.0006713474502783295,0.05270077484684887
21,Herkimer,14.416666666666666,6.666666666666667,6.033333333333334,0.00038298567854993967,0.012710831019249849,0.0005805993891928144,0.06517262785657671
22,Jefferson,15.25,6.583333333333333,5.708333333333333,0.0013119374825559936,0.009833991598198553,0.0004904858594426024,0.06508683099013887
23,Kings,19.083333333333332,8.0,5.491666666666667,0.0014957654892125748,0.00827073146900754,0.00015213404315818943,0.08979977637057088
24,Lewis,14.916666666666666,6.5,6.066666666666666,0.0015997358154856832,0.010696461264514835,0.0008088179971409224,0.07080292428460361
25,Livingston,12.916666666666666,6.0,6.075,0.0006993845526454128,0.01029234186154327,0.0005579454668952356,0.05370562042457763
26,Madison,13.666666666666666,6.416666666666667,6.408333333333334,0.0013078591265432333,0.010626176193836745,0.0005562416686269898,0.05717894809064534
27,Monroe,15.416666666666666,8.083333333333334,5.841666666666666,0.0019018973667754167,0.009592995568243216,0.00028321195051285393,0.05286198788673629
28,Montgomery,15.666666666666666,7.083333333333333,5.241666666666666,0.0007086151529967251,0.012618105467172737,0.00050135939056233,0.06568312740585211
29,Nassau,12.083333333333334,7.833333333333333,7.283333333333332,0.0022605342070434833,0.007597994613263561,0.0003148790563515297,0.05742667986842187
30,New York,16.0,8.166666666666666,6.075,0.006266374998165642,0.0073345586535485795,0.00013260530267750567,0.06710290663347206
31,Niagara,15.0,7.666666666666667,5.983333333333333,0.0008037799752428952,0.013364461957560995,0.0004353461923078129,0.057415540487587735
32,Oneida,15.25,8.0,5.941666666666666,0.001163219131419875,0.012225453239992821,0.00038808113444623943,0.058241967330820314
33,Onondaga,13.916666666666666,7.916666666666667,5.966666666666666,0.0017650595955405416,0.010134671938263003,0.000330698934208575,0.05751136023414394
34,Ontario,10.833333333333334,6.583333333333333,6.466666666666666,0.00149630289617325,0.010543195385536526,0.0005253813275474696,0.050401038609969945
35,Orange,16.166666666666668,6.833333333333333,6.466666666666666,0.0017212334334667748,0.008620102497653518,0.00044583156828054783,0.06309814524100239
36,Orleans,17.916666666666668,7.0,6.05,0.004766011408067217,0.012852291599533995,0.0005866362607308992,0.06910946963124541
37,Oswego,16.5,6.833333333333333,6.075,0.0009241390132356566,0.012443451747855067,0.0007345954761398284,0.06377295610862938
38,Otsego,14.583333333333334,6.416666666666667,5.791666666666667,0.0014680337302880751,0.011770100015947874,0.00044141434852937826,0.0637316884241223
39,Putnam,9.833333333333334,7.416666666666667,6.8999999999999995,0.0023330099625197918,0.008644079944301102,0.00038224734133322416,0.05457007412868084
40,Queens,18.583333333333332,8.0,6.383333333333333,0.0011390585350797167,0.007432973430489918,0.0001758842923167145,0.11489363382698722
41,Rensselaer,14.583333333333334,7.416666666666667,6.191666666666666,0.0011438002444815864,0.01107542563975258,0.00034133929125550796,0.052580731914189376
42,Richmond,14.916666666666666,7.916666666666667,6.7250000000000005,0.0015842187748064584,0.009516783090299422,0.00018877236439823807,0.05722660281689383
43,Rockland,14.333333333333334,6.0,6.516666666666667,0.0020172682191892002,0.006928167552884914,0.00024113609336868353,0.06363825349487236
44,Saratoga,11.5,6.416666666666667,6.641666666666667,0.001227478945221675,0.008745242573886066,0.0003764895042935373,0.04420850158592665
45,Schenectady,14.083333333333334,8.166666666666666,6.0,0.0015683965232546916,0.010605610070373674,0.00023988628862696467,0.05688415653872028
46,Schoharie,13.166666666666666,6.666666666666667,6.241666666666667,0.0024090921265810836,0.012185613964236834,0.0006646698525947365,0.06439725381974827
47,Schuyler,15.363636363636363,6.181818181818182,6.918181818181818,0.0015003243096875908,0.013185830819085932,0.0005231666311116529,0.060331779071303035
48,Seneca,17.555555555555557,5.888888888888889,8.399999999999999,0.001627916239532589,0.012864493996569469,0.0007820560845934951,0.0632183908045977
49,St. Lawrence,17.25,7.0,5.666666666666667,0.0014019790563380666,0.01219298649831805,0.0005022810008755357,0.06819117398583782
50,Steuben,15.416666666666666,7.0,6.116666666666667,0.0012677737092645829,0.01302127856613666,0.0005609933321935374,0.06826487433749359
51,Suffolk,12.75,7.583333333333333,6.916666666666667,0.0019185816434338333,0.009114446803676906,0.00046534768096186786,0.0646027205445458
52,Sullivan,16.916666666666668,8.416666666666666,6.0,0.0012617650250823084,0.01384861280694614,0.0007525267941934608,0.07776569495319495
53,Tioga,13.666666666666666,7.0,6.5249999999999995,0.0010327291606735103,0.011386853781859458,0.0005383001410243181,0.056390809342001164
54,Tompkins,13.25,6.416666666666667,5.8500000000000005,0.0025469191890198917,0.007144095580354328,0.0004113864195195763,0.05710075026795284
55,Ulster,13.416666666666666,6.916666666666667,6.133333333333333,0.002557980180322017,0.011316040787971106,0.0004949106686243133,0.07101555669201709
56,Warren,12.5,6.75,6.291666666666667,0.0027909246918838,0.01190729726029481,0.0004690407735876802,0.05792019714924624
57,Washington,15.75,7.25,6.308333333333334,0.002083189601373966,0.012265777081770034,0.0006946483529629268,0.06532685176122584
58,Wayne,16.25,6.583333333333333,6.416666666666667,0.0006793745346488691,0.011966448663314453,0.0005943056209809055,0.06147731048862694
59,Westchester,13.166666666666666,7.916666666666667,6.808333333333334,0.0034114140608854913,0.007156271166079451,0.0002023481343651346,0.06981599676906694
60,Wyoming,14.75,5.75,6.233333333333333,0.0015419949559326142,0.01129176844061747,0.0005839151924864096,0.058839735840056584
61,Yates,14.428571428571429,4.714285714285714,8.757142857142856,0.0010542430140091715,0.012022973393765353,0.0005997070661638354,0.07789272163212585
