FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,# With Access,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,Mental Health Provider Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Pop. In Viol,% Pop in Viol,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36039,New York,Greene,672,7841,6853,8828,2.17,204,11,7,17,-0.99,203,4.0,2.2,5.8,0.42,201,2.5,1.6,3.4,-1.43,,287,3117,9.2,8.2,10.2,1.87,207,27,19,36,1.25,30,24,37,0.85,8.1,0.10,27,21,34,1.21,36814,75,0.12,199,19,12,29,0.38,12,49,24,-0.22,137,282,-0.28,239,10152,24,21,27,-0.02,4149,11,10,13,0.09,17,35,2863:1,0.97,17,35,2850:1,0.65,34,70,1425:1,36,74,1346:1,0.97,6168,62,55,68,-0.22,660,84,77,91,1.17,466,60.1,53.0,67.1,0.93,643,78,0.34,5679,10863,52.3,47.3,57.2,1.05,1896,23133,8.2,0.45,1797,22,16,27,-0.05,97719,21599,4.5,-0.07,2833,8771,32,27,38,-0.03,51,10.5,0.14,102,207,-0.06,144,59,49,68,1.01,11.2,-0.64,3792,14,0.29,3305,17,15,20,0.08,15561,19377,80,78,83,0.40,15561,35,32,39,0.25
36041,New York,Hamilton,83,8193,6526,10157,2.58,,,,,0.00,,,,,0.00,,,,,0.00,,10,239,4.2,,,-3.00,,,,,0.00,27,20,34,-0.23,8.5,-0.57,24,17,33,0.10,4836,100,-1.49,,,,,0.00,2,4,50,2.27,14,293,-0.21,13,821,16,,,-0.97,450,13,11,14,0.77,1,21,4778:1,1.47,,,,0.00,1,21,4773:1,1,21,4773:1,1.54,1589,46,35,57,-1.37,159,91,76,100,-1.84,118,78.0,62.0,93.9,-2.36,,,0.00,514,850,60.5,49.9,71.0,0.05,229,2890,7.9,0.22,158,22,16,28,-0.01,95800,24921,3.8,-0.99,178,816,22,14,29,-1.45,12,25.1,-3.00,2,41,-1.13,20,83,51,128,3.00,11.3,-0.43,290,9,-0.08,215,9,7,12,-1.41,1499,1923,78,74,82,0.25,1499,34,27,41,0.15
36043,New York,Herkimer,699,5689,4989,6388,-0.36,226,14,8,23,-0.05,223,3.1,2.1,4.0,-0.67,223,4.5,2.9,6.1,1.42,,318,4604,6.9,6.2,7.6,-0.43,226,19,13,28,-0.11,31,25,37,1.09,8.1,0.10,24,19,31,0.10,42360,66,0.71,217,19,13,27,0.30,9,32,28,0.14,186,288,-0.24,411,16595,25,22,27,0.13,5890,11,10,12,0.09,28,43,2304:1,0.67,20,31,3209:1,0.80,27,42,2377:1,30,47,2139:1,1.26,6785,79,73,86,1.07,660,88,81,95,-0.46,426,68.3,60.5,76.2,-0.58,883,78,0.42,8762,14434,60.7,56.8,64.7,0.02,2443,30204,8.1,0.36,3388,25,20,30,0.58,84791,19470,4.4,-0.30,4653,13840,34,29,38,0.15,78,12.1,-0.31,144,239,0.15,156,48,41,56,-0.07,11.5,-0.18,8743,22,0.93,3620,14,12,15,-0.61,22844,28165,81,79,83,0.45,22844,31,28,33,-0.21
36045,New York,Jefferson,1131,6490,5989,6991,0.58,402,14,11,18,-0.08,399,3.9,3.0,4.8,0.30,397,3.6,2.6,4.6,0.14,,978,14106,6.9,6.5,7.4,-0.40,399,26,21,32,1.12,30,24,36,0.66,7.5,1.09,26,21,32,0.90,81627,70,0.42,389,20,15,26,0.62,22,72,31,0.37,641,533,1.13,1145,25423,45,42,48,2.62,11176,11,10,12,-0.02,54,45,2227:1,0.62,96,80,1245:1,-1.07,164,137,729:1,171,143,699:1,0.24,10232,64,59,69,-0.02,1269,88,83,93,-0.48,715,70.8,64.6,76.9,-1.04,1356,81,-0.03,20050,33422,60.0,56.9,63.1,0.11,4570,47856,9.5,1.60,6593,23,17,28,0.12,86140,21265,4.1,-0.71,9724,29569,33,29,37,0.05,119,9.9,0.30,203,176,-0.27,311,53,47,59,0.44,11.8,0.28,2648,2,-0.60,6920,15,14,17,-0.28,39979,52949,76,74,77,0.09,39979,19,18,21,-1.28
36047,New York,Kings,22143,5788,5689,5888,-0.24,3813,18,17,20,1.16,3677,3.8,3.5,4.1,0.18,3725,3.6,3.2,3.9,0.14,,24521,292853,8.4,8.3,8.5,1.04,3807,14,12,16,-1.11,23,21,24,-1.47,6.8,2.25,25,24,27,0.52,2403961,96,-1.23,3630,14,12,16,-1.15,54,389,14,-1.25,19224,749,2.35,16970,581110,29,29,30,0.67,341870,15,15,16,2.15,1567,61,1637:1,0.04,1550,60,1672:1,-0.29,3992,154,649:1,4161,161,623:1,0.05,159901,65,64,66,0.03,19789,86,85,87,0.27,9843,57.9,56.4,59.4,1.33,22580,65,2.63,486634,787640,61.8,61.1,62.4,-0.11,108363,1155342,9.4,1.45,198970,33,31,35,1.90,101894,15991,6.4,2.41,232429,594964,39,38,40,0.89,1158,4.5,1.79,16052,633,2.69,4146,33,32,34,-1.70,10.8,-1.15,,,0.00,312540,34,34,35,3.19,209841,1090609,19,19,20,-3.52,209841,54,53,55,2.01
36049,New York,Lewis,269,5887,4840,6934,-0.12,141,17,10,26,0.67,135,3.7,2.4,5.0,0.06,137,3.7,1.8,5.7,0.28,,144,2294,6.3,5.3,7.3,-1.06,141,20,13,30,0.02,27,21,34,-0.08,8.0,0.26,25,18,32,0.21,14936,55,1.39,139,20,13,31,0.68,12,20,60,3.25,67,246,-0.48,194,6713,29,25,33,0.64,2831,12,11,14,0.66,16,59,1702:1,0.12,5,18,5430:1,1.29,54,199,503:1,54,199,503:1,-0.35,3035,73,63,82,0.59,358,89,80,99,-1.12,246,69.5,59.1,79.9,-0.80,377,83,-0.38,3022,6222,48.6,43.5,53.6,1.50,1167,12210,9.6,1.61,1447,23,17,29,0.17,86140,22012,3.9,-0.89,1488,6355,23,19,28,-1.24,46,16.9,-1.64,25,93,-0.80,79,58,46,73,0.98,11.7,0.12,700,7,-0.28,1410,13,11,15,-0.68,9465,11677,81,79,83,0.45,9465,31,28,34,-0.20
36051,New York,Livingston,621,5610,4942,6278,-0.45,238,10,6,16,-1.22,235,2.6,1.6,3.6,-1.27,237,1.6,0.8,2.3,-2.71,,246,4071,6.0,5.3,6.8,-1.29,236,17,12,24,-0.54,28,22,35,0.11,8.0,0.26,22,18,28,-0.59,45034,69,0.50,233,11,7,16,-1.94,12,43,28,0.12,139,215,-0.65,255,21045,12,11,14,-1.42,4735,9,8,11,-0.88,31,48,2091:1,0.51,29,45,2231:1,0.28,41,63,1578:1,43,66,1505:1,1.05,3163,55,47,63,-0.69,295,87,76,97,-0.08,186,65.1,53.5,76.6,0.01,790,88,-1.29,8589,14348,59.9,55.7,64.0,0.12,2364,31861,7.4,-0.21,2151,18,14,21,-0.69,96350,22491,4.3,-0.39,4225,12722,33,28,38,0.09,81,12.5,-0.42,50,76,-0.91,166,51,43,59,0.19,12.5,1.29,3955,8,-0.19,3200,13,11,15,-0.70,23993,30006,80,78,81,0.38,23993,42,39,44,0.84
36053,New York,Madison,711,5280,4682,5878,-0.84,243,15,10,21,0.15,239,3.2,2.3,4.2,-0.55,241,3.7,2.3,5.1,0.28,,320,5006,6.4,5.7,7.1,-0.94,241,22,15,32,0.46,28,22,35,0.23,8.4,-0.40,23,18,29,-0.36,37533,51,1.64,237,15,10,21,-0.88,6,43,14,-1.25,151,209,-0.69,403,24828,16,15,18,-0.92,5465,10,8,11,-0.84,42,58,1723:1,0.15,24,33,3016:1,0.73,93,128,778:1,94,130,770:1,0.38,7351,56,51,62,-0.61,727,85,78,91,0.73,521,74.5,67.1,81.9,-1.72,951,86,-0.92,9610,15549,61.8,57.7,65.9,-0.11,2740,35315,7.8,0.08,2817,19,15,24,-0.43,96987,24031,4.0,-0.73,4289,15078,28,24,33,-0.55,72,9.9,0.28,53,75,-0.92,182,50,43,57,0.08,11.7,0.16,218,1,-0.72,3015,11,10,13,-1.07,26385,32309,82,80,83,0.49,26385,36,33,38,0.27
36055,New York,Monroe,6968,5763,5563,5963,-0.27,2329,17,14,19,0.64,2284,3.6,3.1,4.1,-0.06,2284,3.4,3.0,3.9,-0.15,,5031,60158,8.4,8.1,8.6,1.03,2318,18,16,20,-0.33,29,26,32,0.35,7.6,0.92,21,19,24,-1.05,701664,94,-1.12,2255,15,13,18,-0.66,65,194,34,0.66,5000,669,1.90,5261,197471,27,26,27,0.36,56095,9,8,10,-1.09,752,101,994:1,-1.36,551,74,1360:1,-0.81,1425,190,526:1,1474,197,509:1,-0.33,31815,57,55,60,-0.56,2927,86,83,89,0.22,1941,58.5,55.1,61.9,1.22,10083,79,0.31,133312,184968,72.1,70.6,73.5,-1.37,25888,368557,7.0,-0.55,36393,23,20,25,0.14,102474,21507,4.8,0.25,65132,164193,40,38,41,0.97,656,8.8,0.61,2716,363,0.95,1737,47,45,49,-0.26,12.5,1.24,0,0,-0.78,50970,17,17,18,0.07,282238,346037,82,81,82,0.48,282238,18,17,18,-1.46
36057,New York,Montgomery,563,6154,5373,6935,0.19,193,12,8,18,-0.62,189,3.5,2.0,4.9,-0.18,191,3.3,2.0,4.6,-0.29,,294,4265,6.9,6.1,7.7,-0.44,192,31,21,42,1.97,27,22,34,-0.08,6.3,3.08,23,18,30,-0.21,22901,46,2.00,191,18,11,27,0.00,3,27,11,-1.52,131,262,-0.38,444,11432,39,35,43,1.86,4649,11,10,13,0.09,31,62,1611:1,0.01,31,62,1610:1,-0.37,38,76,1313:1,41,82,1217:1,0.89,5595,62,56,68,-0.18,510,84,76,92,1.13,316,64.2,55.4,73.1,0.16,610,71,1.60,6501,11843,54.9,50.4,59.3,0.73,2131,23452,9.1,1.21,3165,29,22,35,1.10,85847,18600,4.6,0.05,4487,11513,39,34,44,0.88,53,10.6,0.10,64,129,-0.57,130,52,43,61,0.31,11.3,-0.46,0,0,-0.78,3200,16,14,18,-0.20,16824,21066,80,78,82,0.37,16824,35,32,38,0.20
36059,New York,Nassau,10325,4407,4278,4537,-1.86,2834,11,10,13,-0.85,2769,3.1,2.7,3.5,-0.67,2790,2.7,2.4,3.0,-1.15,,8263,102527,8.1,7.9,8.2,0.72,2818,12,11,14,-1.44,22,20,25,-1.56,9.6,-2.39,23,21,25,-0.36,1328599,99,-1.44,2740,16,14,18,-0.61,109,456,24,-0.28,3178,236,-0.53,3542,319216,11,11,12,-1.55,111382,10,9,11,-0.62,1988,147,679:1,-3.02,1525,113,887:1,-2.30,3329,246,406:1,3526,261,383:1,-1.01,156973,55,54,56,-0.69,13312,85,84,87,0.50,9780,64.4,62.8,66.0,0.13,16947,90,-1.63,233001,318936,73.1,71.9,74.2,-1.49,41434,697676,5.9,-1.47,27137,9,8,11,-2.12,178506,40791,4.4,-0.27,61532,306010,20,19,21,-1.69,1015,7.5,0.96,2333,173,-0.28,2587,39,37,40,-1.10,10.6,-1.42,20250,1,-0.67,100090,23,22,23,1.02,445204,638623,70,69,70,-0.28,445204,43,42,44,0.95
36061,New York,New York,12076,4409,4296,4522,-1.86,4314,16,14,17,0.33,4181,3.6,3.3,4.0,-0.06,4197,3.5,3.2,3.9,0.00,,12206,141313,8.6,8.5,8.8,1.30,4307,13,12,14,-1.29,15,13,16,-3.94,7.6,0.92,16,15,17,-3.05,1554503,98,-1.37,4118,21,19,23,0.82,28,227,12,-1.41,11777,727,2.22,6402,282628,23,22,23,-0.13,153534,11,11,12,0.13,2223,137,728:1,-2.66,2708,167,601:1,-4.34,10770,662,151:1,11171,687,146:1,-5.54,143744,47,46,48,-1.30,10076,81,79,83,2.20,10353,61.6,60.1,63.1,0.65,16524,67,2.31,489228,592744,82.5,81.5,83.6,-2.65,68658,949131,7.2,-0.37,62281,27,23,30,0.78,177685,20591,8.6,5.45,99302,234191,42,41,44,1.34,2070,12.8,-0.50,9903,620,2.61,2512,31,30,33,-1.86,10.8,-1.12,,,0.00,184780,25,25,26,1.50,53977,838217,6,6,7,-4.35,53977,63,59,66,2.84
36063,New York,Niagara,2642,6824,6429,7219,0.98,716,14,11,18,0.01,703,4.2,3.4,5.0,0.66,709,4.2,3.3,5.1,0.99,,1265,15468,8.2,7.7,8.6,0.84,711,23,19,28,0.57,30,26,35,0.82,7.9,0.43,24,20,28,-0.10,189055,87,-0.68,693,18,14,22,0.05,26,94,28,0.09,922,429,0.55,1398,52314,27,25,28,0.37,17383,10,9,11,-0.69,91,42,2364:1,0.71,113,53,1896:1,-0.02,201,94,1066:1,207,97,1035:1,0.73,15482,76,72,81,0.86,1748,86,82,91,0.12,1068,63.3,58.5,68.1,0.34,2693,83,-0.52,32786,50299,65.2,62.6,67.8,-0.53,8815,109993,8.0,0.29,8466,20,16,23,-0.39,93301,19985,4.7,0.12,16917,45166,37,35,40,0.67,228,10.6,0.10,819,378,1.04,602,56,51,60,0.71,12.8,1.68,0,0,-0.78,12485,14,13,15,-0.54,82860,96809,86,85,86,0.74,82860,27,26,29,-0.51
36065,New York,Oneida,2629,6362,5989,6736,0.43,768,14,11,17,-0.13,748,4.0,3.2,4.8,0.42,748,4.1,3.2,5.1,0.85,,1486,18305,8.1,7.7,8.5,0.78,765,23,20,28,0.61,29,24,33,0.32,7.9,0.43,28,23,32,1.40,176193,75,0.11,748,14,11,18,-1.12,23,90,26,-0.11,751,322,-0.05,1778,58198,31,29,32,0.84,19922,11,10,12,-0.18,177,76,1320:1,-0.48,128,55,1825:1,-0.10,285,122,820:1,314,134,744:1,0.33,26088,69,66,72,0.30,2738,85,82,89,0.45,1676,69.2,65.2,73.2,-0.75,2994,81,-0.11,33277,55384,60.1,57.8,62.4,0.10,8119,104805,7.7,0.07,12504,26,21,30,0.62,93355,20060,4.7,0.10,18975,50160,38,36,40,0.72,267,11.4,-0.13,578,245,0.19,518,44,40,48,-0.52,11.7,0.09,2101,1,-0.70,13320,15,14,15,-0.45,83379,101294,82,82,83,0.53,83379,20,19,21,-1.22
36067,New York,Onondaga,4561,5833,5584,6083,-0.19,1368,13,11,15,-0.36,1331,3.3,2.8,3.8,-0.43,1354,3.7,3.1,4.3,0.28,,3004,38126,7.9,7.6,8.1,0.54,1364,16,14,19,-0.67,27,23,31,-0.17,7.8,0.59,24,21,28,0.17,430702,92,-0.99,1326,19,16,22,0.24,52,159,33,0.58,2524,541,1.18,3492,128363,27,26,28,0.43,37117,10,9,10,-0.79,442,95,1056:1,-1.15,336,72,1394:1,-0.74,854,182,548:1,905,193,518:1,-0.29,47369,56,54,58,-0.66,4494,90,88,93,-1.56,3010,71.0,68.0,74.0,-1.07,6035,79,0.22,79299,113607,69.8,68.1,71.5,-1.09,15915,226141,7.0,-0.54,21778,21,19,24,-0.08,105750,21360,5.0,0.50,38692,104632,37,35,39,0.61,504,10.8,0.05,1673,357,0.91,1272,55,52,58,0.58,12.0,0.49,100554,18,0.63,27825,15,15,16,-0.34,172056,215514,80,79,81,0.37,172056,17,16,17,-1.53
36069,New York,Ontario,1141,5782,5237,6327,-0.25,375,8,5,11,-1.94,370,2.4,1.7,3.0,-1.51,375,3.4,2.2,4.6,-0.15,,495,7508,6.6,6.0,7.2,-0.74,374,15,10,20,-1.00,29,23,35,0.48,8.8,-1.06,18,14,23,-2.20,91792,85,-0.53,363,16,11,21,-0.55,8,63,13,-1.37,274,253,-0.44,500,27134,18,17,20,-0.65,7656,9,8,10,-1.29,90,83,1206:1,-0.73,56,51,1948:1,0.04,161,148,678:1,167,153,653:1,0.13,6876,53,47,58,-0.88,569,84,76,92,1.02,452,60.8,53.6,68.0,0.79,1519,88,-1.24,17373,24242,71.7,68.0,75.4,-1.32,3702,56437,6.6,-0.95,3018,13,10,17,-1.42,106242,26024,4.1,-0.66,7063,23605,30,26,34,-0.35,112,10.3,0.18,143,132,-0.55,269,50,44,56,0.09,12.4,1.05,2920,3,-0.53,5745,13,12,15,-0.70,42439,52228,81,80,83,0.46,42439,33,31,35,0.03
36071,New York,Orange,3295,5661,5391,5932,-0.39,894,17,13,21,0.73,868,3.4,2.8,4.0,-0.30,880,3.1,2.6,3.6,-0.58,,2632,36762,7.2,6.9,7.4,-0.18,892,21,17,25,0.11,25,21,28,-0.91,8.4,-0.40,25,21,29,0.21,312378,84,-0.45,862,21,16,26,0.82,58,187,31,0.42,1079,288,-0.24,2186,96657,23,22,24,-0.13,35101,11,10,12,-0.10,266,71,1408:1,-0.31,244,65,1539:1,-0.48,633,169,593:1,675,180,556:1,-0.15,35108,60,58,63,-0.32,4259,87,85,90,-0.36,2725,62.3,59.3,65.3,0.52,5558,84,-0.65,57276,92000,62.3,60.2,64.3,-0.17,12503,174406,7.2,-0.43,20727,21,18,24,-0.11,133064,28126,4.7,0.21,23407,99563,24,22,25,-1.22,274,7.3,1.01,1021,277,0.39,799,43,40,46,-0.66,11.1,-0.70,35871,12,0.11,27875,22,21,23,0.97,123906,170241,73,72,74,-0.08,123906,43,42,45,0.99
36073,New York,Orleans,478,6435,5512,7358,0.52,136,19,12,29,1.36,134,5.0,2.7,7.3,1.63,134,3.4,2.0,4.8,-0.15,,208,2968,7.0,6.1,7.9,-0.33,135,29,20,39,1.62,31,24,38,0.97,7.9,0.43,27,20,34,1.09,31661,74,0.19,132,13,7,23,-1.23,5,25,20,-0.66,157,367,0.20,296,10730,28,24,31,0.48,3895,11,10,13,0.18,8,19,5355:1,1.55,8,19,5279:1,1.27,17,40,2484:1,18,43,2346:1,1.31,2449,103,90,116,2.85,314,85,75,95,0.74,179,58.7,47.4,69.9,1.19,623,86,-0.92,5027,10321,48.7,44.2,53.2,1.49,1716,19112,9.0,1.11,2098,25,19,30,0.47,88463,21711,4.1,-0.68,3652,9007,41,34,47,1.09,57,13.3,-0.65,74,173,-0.28,98,46,37,56,-0.36,12.7,1.45,1300,0,-0.76,2595,16,14,19,-0.13,14176,17110,83,81,85,0.56,14176,38,34,42,0.53
36075,New York,Oswego,1342,6027,5552,6502,0.04,411,16,12,21,0.59,403,3.9,2.9,4.9,0.30,404,3.5,2.7,4.3,0.00,,652,9556,6.8,6.3,7.3,-0.51,414,30,24,36,1.80,33,27,39,1.68,8.1,0.10,27,22,33,1.13,78658,64,0.79,405,22,17,29,1.28,24,85,28,0.15,254,209,-0.69,1066,37089,29,27,31,0.62,10473,10,9,11,-0.40,43,35,2830:1,0.96,48,40,2524:1,0.48,117,97,1036:1,123,102,985:1,0.68,11388,75,70,80,0.73,1380,90,85,95,-1.34,859,69.0,63.5,74.6,-0.72,1925,77,0.50,15160,28388,53.4,50.5,56.3,0.91,5395,56907,9.5,1.54,7192,28,23,33,0.97,91250,20685,4.4,-0.22,9662,27152,36,32,39,0.42,114,9.4,0.45,189,156,-0.39,345,57,51,63,0.79,12.0,0.53,31731,43,2.54,7095,16,14,17,-0.27,41289,51599,80,79,82,0.38,41289,37,35,38,0.36
36077,New York,Otsego,659,5839,5094,6584,-0.18,264,14,10,20,-0.10,256,4.4,2.5,6.3,0.90,260,4.0,2.7,5.3,0.71,,243,3711,6.5,5.8,7.3,-0.79,264,18,13,24,-0.43,25,20,31,-0.70,7.7,0.76,23,18,29,-0.40,42055,68,0.59,257,18,12,26,0.16,4,21,19,-0.75,177,287,-0.25,245,22868,11,9,12,-1.60,5170,11,10,12,0.02,64,104,964:1,-1.47,29,47,2127:1,0.20,98,159,629:1,101,164,611:1,0.02,8204,65,60,71,0.05,757,85,78,91,0.70,610,68.9,62.3,75.4,-0.68,741,77,0.48,7338,11990,61.2,57.1,65.3,-0.04,2160,31076,7.0,-0.61,2235,22,17,26,-0.05,87900,20602,4.3,-0.42,3759,11022,34,29,39,0.22,79,12.8,-0.51,110,176,-0.26,142,46,38,53,-0.36,11.5,-0.18,1862,6,-0.31,4210,17,15,19,0.00,19937,28068,71,69,73,-0.20,19937,28,26,31,-0.42
36079,New York,Putnam,835,4453,3961,4945,-1.81,281,6,4,9,-2.32,278,2.4,1.7,3.2,-1.51,273,2.2,1.6,2.8,-1.86,,534,6632,8.1,7.4,8.7,0.72,281,10,7,14,-1.88,29,24,36,0.60,9.3,-1.89,22,17,29,-0.63,88062,88,-0.74,275,23,16,33,1.47,8,41,20,-0.70,109,109,-1.24,128,23066,6,5,7,-2.23,7875,9,8,10,-0.93,55,55,1811:1,0.25,54,54,1845:1,-0.07,245,246,407:1,252,253,395:1,-0.93,11393,60,56,65,-0.32,1165,85,80,91,0.43,939,64.5,59.4,69.7,0.11,1408,90,-1.67,16727,23553,71.0,67.0,75.0,-1.24,3121,53460,5.8,-1.56,1447,7,5,8,-2.52,165232,39401,4.2,-0.52,3503,22791,15,12,18,-2.33,66,6.6,1.21,58,59,-1.02,194,39,33,44,-1.07,10.9,-1.07,0,0,-0.78,7125,20,18,22,0.61,37212,49161,76,74,77,0.10,37212,57,54,59,2.28
36081,New York,Queens,17026,4616,4518,4714,-1.62,3455,18,16,20,0.96,3332,3.3,3.0,3.6,-0.43,3355,3.5,3.1,4.0,0.00,,17689,215415,8.2,8.1,8.3,0.88,3446,13,12,15,-1.24,24,22,26,-1.16,8.1,0.10,27,25,29,1.21,2130241,95,-1.20,3276,15,12,18,-0.85,71,405,18,-0.90,12777,562,1.30,10469,461519,23,22,23,-0.13,379048,19,19,20,4.28,1505,66,1510:1,-0.14,1604,70,1432:1,-0.67,2769,121,829:1,2910,127,789:1,0.41,152336,57,56,58,-0.55,16233,86,84,87,0.37,9401,56.1,54.6,57.6,1.65,19879,70,1.74,430176,694359,62.0,61.2,62.7,-0.13,88990,1147536,7.8,0.07,99825,22,19,24,-0.05,111006,23038,4.8,0.33,152071,461422,33,32,34,0.06,1062,4.7,1.75,14234,633,2.69,3374,30,29,31,-1.99,10.7,-1.29,,,0.00,250695,32,32,33,2.83,332554,1044049,32,31,32,-2.71,332554,55,54,56,2.15
36083,New York,Rensselaer,1694,5877,5462,6293,-0.14,522,17,12,22,0.61,513,3.6,2.7,4.4,-0.06,519,3.6,2.8,4.4,0.14,,879,12187,7.2,6.8,7.7,-0.12,520,19,15,24,-0.24,25,20,30,-0.82,8.1,0.10,22,18,27,-0.59,116431,73,0.24,503,22,16,29,1.09,12,60,20,-0.66,497,311,-0.11,995,38699,26,24,27,0.25,12084,9,8,10,-1.05,79,49,2023:1,0.46,68,43,2352:1,0.37,218,136,734:1,223,139,717:1,0.28,13127,57,53,61,-0.54,1370,88,83,93,-0.61,904,62.6,57.5,67.8,0.46,1781,83,-0.50,27415,39762,68.9,66.0,71.9,-0.99,5570,82425,6.8,-0.78,6662,21,17,24,-0.20,111053,24816,4.5,-0.14,11709,32943,36,32,39,0.41,148,9.3,0.48,492,310,0.60,332,42,37,46,-0.78,10.9,-0.98,29381,28,1.34,10045,16,15,17,-0.23,62246,77862,80,79,81,0.38,62246,29,28,31,-0.33
36085,New York,Richmond,4550,5668,5429,5906,-0.38,936,12,9,14,-0.82,920,3.3,2.7,3.9,-0.43,918,3.9,3.2,4.6,0.57,,3243,40032,8.1,7.8,8.4,0.77,930,18,15,22,-0.32,28,24,32,0.08,8.8,-1.06,28,24,31,1.36,462953,99,-1.41,895,17,14,21,-0.17,21,89,24,-0.31,1518,323,-0.05,2016,110283,18,18,19,-0.67,39749,10,9,11,-0.67,437,93,1077:1,-1.08,304,64,1555:1,-0.46,799,169,592:1,843,178,561:1,-0.14,34198,56,53,58,-0.67,3866,86,83,89,0.22,2788,60.8,57.9,63.7,0.80,4468,75,0.90,82834,124573,66.5,64.7,68.3,-0.69,18990,243573,7.8,0.11,20022,19,16,22,-0.48,136633,26975,5.1,0.66,29409,107481,27,25,29,-0.70,199,4.2,1.87,2963,633,2.69,1010,43,41,46,-0.63,10.9,-0.97,4135500,50,3.06,39330,24,23,25,1.28,113001,203179,56,55,57,-1.19,113001,48,46,49,1.42
36087,New York,Rockland,2260,4294,4040,4548,-1.99,644,12,9,16,-0.71,631,2.5,2.0,3.0,-1.39,630,2.8,2.0,3.6,-1.00,,2201,34436,6.4,6.1,6.6,-0.94,640,9,6,12,-2.11,24,20,28,-1.19,8.5,-0.57,24,20,28,-0.13,297138,95,-1.19,616,11,8,16,-1.73,17,74,23,-0.37,828,261,-0.39,1213,78522,15,15,16,-1.01,28949,11,10,12,-0.18,304,96,1045:1,-1.18,321,100,1000:1,-1.82,709,221,453:1,747,233,430:1,-0.71,35361,52,50,54,-0.94,3693,89,86,92,-0.82,2553,66.8,63.6,70.0,-0.30,3526,87,-1.17,48222,73214,65.9,63.7,68.0,-0.61,9339,157556,5.9,-1.48,21725,25,21,28,0.45,161596,32577,5.0,0.52,14396,87620,16,15,18,-2.18,313,9.9,0.31,501,160,-0.37,453,29,26,32,-2.12,10.9,-0.97,135444,45,2.68,24790,25,24,26,1.51,99458,139763,71,70,72,-0.19,99458,40,38,42,0.69
36089,New York,St. Lawrence,1310,6778,6196,7360,0.92,460,19,15,24,1.30,456,5.1,4.0,6.2,1.75,451,4.3,3.3,5.2,1.14,,626,8387,7.5,6.9,8.0,0.13,459,27,21,33,1.25,29,24,35,0.60,7.6,0.92,26,21,31,0.75,71418,64,0.83,447,23,17,29,1.31,24,56,43,1.58,237,211,-0.67,768,34233,22,21,24,-0.16,10378,12,11,13,0.54,61,54,1840:1,0.28,42,38,2666:1,0.56,144,129,778:1,149,133,751:1,0.35,12678,81,76,86,1.18,1674,89,84,94,-0.97,950,72.0,66.6,77.4,-1.26,1385,76,0.69,14530,25633,56.7,53.7,59.7,0.51,4461,47991,9.3,1.38,6726,30,24,35,1.30,84584,18135,4.7,0.12,8002,22927,35,31,39,0.32,123,11.0,0.00,136,123,-0.61,289,52,46,58,0.27,11.4,-0.26,4139,6,-0.29,6550,16,14,17,-0.25,33607,44070,76,75,77,0.14,33607,24,22,26,-0.82
