FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,# Low Birthweight Births,# Live births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,# With Access,% With Access,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,Mental Health Provider Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Pop. In Viol,% Pop in Viol,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,# Drive Alone,# Workers,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
36019,New York,Clinton,855,6194,5535,6852,0.24,313,15,11,20,0.04,309,3.3,2.5,4.1,-0.43,307,3.6,1.8,5.3,0.14,,408,5561,7.3,6.7,8.0,0.00,311,16,11,23,-0.70,33,27,39,1.56,7.6,0.92,26,21,32,0.75,56290,69,0.53,306,23,17,30,1.42,13,54,24,-0.26,290,355,0.14,482,23326,21,19,23,-0.37,6532,10,9,11,-0.45,56,69,1458:1,-0.22,42,51,1943:1,0.03,132,162,618:1,139,170,587:1,-0.05,9327,71,66,77,0.48,1323,90,85,96,-1.53,701,70.5,64.3,76.7,-0.98,1114,83,-0.44,10893,20610,52.9,49.1,56.6,0.98,3195,37045,8.6,0.81,3024,21,16,25,-0.23,95153,20364,4.7,0.13,5275,15142,35,30,40,0.32,70,8.6,0.67,83,100,-0.75,212,52,45,59,0.27,11.1,-0.77,4194,7,-0.23,4530,14,13,16,-0.49,26837,35055,77,75,79,0.16,26837,19,17,21,-1.33
36021,New York,Columbia,773,5937,5202,6673,-0.06,294,13,9,19,-0.36,290,3.5,2.3,4.7,-0.18,284,4.1,2.9,5.4,0.85,,301,3960,7.6,6.8,8.4,0.27,292,14,9,19,-1.16,26,21,31,-0.57,8.5,-0.57,22,17,28,-0.67,40400,64,0.81,285,23,17,31,1.50,7,36,19,-0.71,118,189,-0.80,314,13600,23,21,26,-0.08,5824,12,11,13,0.37,30,48,2083:1,0.51,25,40,2490:1,0.46,80,129,778:1,82,132,759:1,0.36,7984,61,55,66,-0.30,741,87,81,94,-0.30,578,68.2,61.4,74.9,-0.56,731,78,0.44,8280,13259,62.4,57.8,67.1,-0.19,1949,30832,6.3,-1.15,2032,18,13,23,-0.66,109961,25349,4.3,-0.32,4080,11859,34,29,40,0.26,62,9.9,0.29,92,147,-0.45,178,57,48,65,0.80,11.0,-0.91,0,0,-0.78,4000,16,14,17,-0.26,22941,29253,78,76,81,0.28,22941,34,31,37,0.13
36023,New York,Cortland,560,6574,5761,7388,0.68,164,17,11,27,0.84,161,3.3,2.1,4.6,-0.43,163,3.7,2.3,5.2,0.28,,274,3568,7.7,6.8,8.6,0.34,166,21,14,30,0.24,27,21,33,-0.26,8.2,-0.07,22,17,29,-0.59,35174,71,0.35,164,13,8,20,-1.32,6,19,32,0.47,234,473,0.80,329,18330,18,16,20,-0.71,3788,10,8,11,-0.77,26,53,1903:1,0.35,18,37,2721:1,0.59,111,227,441:1,117,239,419:1,-0.78,5079,103,94,112,2.84,541,89,81,96,-0.79,362,72.7,63.9,81.4,-1.38,585,80,0.08,6512,10872,59.9,55.2,64.6,0.12,1908,24138,7.9,0.20,1984,21,15,26,-0.20,90820,20558,4.4,-0.21,3791,9898,38,33,44,0.79,57,11.5,-0.15,68,137,-0.52,113,46,37,54,-0.35,11.9,0.36,0,0,-0.78,2900,16,14,18,-0.15,16950,22407,76,74,77,0.10,16950,31,28,34,-0.15
36025,New York,Delaware,634,6650,5744,7556,0.77,223,12,8,17,-0.82,216,2.8,1.9,3.8,-1.03,212,2.4,1.6,3.3,-1.57,,225,3080,7.3,6.4,8.2,-0.03,218,16,11,23,-0.72,26,21,32,-0.45,8.6,-0.73,28,22,35,1.51,27429,57,1.26,221,13,9,19,-1.34,13,42,31,0.41,78,165,-0.93,244,12343,20,17,22,-0.48,4393,12,11,14,0.61,20,42,2364:1,0.71,16,34,2920:1,0.69,47,101,994:1,49,105,954:1,0.65,6058,80,73,88,1.16,601,85,77,92,0.75,383,62.9,55.0,70.9,0.40,591,87,-1.12,5062,9301,54.4,49.9,59.0,0.79,1691,21113,8.0,0.29,2445,29,23,35,1.20,82065,19603,4.2,-0.52,2858,8854,32,27,38,-0.03,63,13.3,-0.65,67,140,-0.49,145,61,51,70,1.22,11.5,-0.23,860,4,-0.49,3130,16,14,17,-0.28,14817,20114,74,71,76,-0.03,14817,30,27,32,-0.31
36027,New York,Dutchess,2769,5289,4987,5591,-0.83,849,12,9,16,-0.68,832,3.0,2.5,3.5,-0.79,840,3.2,2.5,3.9,-0.43,,1450,20308,7.1,6.8,7.5,-0.19,846,14,11,17,-1.13,26,22,30,-0.42,8.3,-0.24,21,17,25,-1.25,255098,86,-0.58,824,19,15,23,0.32,30,110,27,0.05,829,279,-0.29,1079,82671,13,12,14,-1.31,25030,11,10,11,-0.34,226,76,1316:1,-0.49,198,67,1500:1,-0.55,648,218,458:1,687,231,432:1,-0.70,33993,55,53,58,-0.68,3724,88,85,91,-0.50,2510,66.6,63.4,69.8,-0.27,4005,80,0.07,47175,70440,67.0,64.7,69.2,-0.74,9786,144781,6.8,-0.78,7656,13,10,15,-1.51,133163,30182,4.4,-0.22,16160,63242,26,23,28,-0.95,212,7.1,1.07,669,235,0.12,698,47,44,51,-0.22,10.9,-0.98,33023,17,0.53,21190,20,19,21,0.51,105267,138506,76,75,77,0.12,105267,42,40,43,0.83
36029,New York,Erie,10598,6994,6790,7198,1.18,2795,13,12,15,-0.28,2744,3.9,3.4,4.3,0.30,2754,3.3,2.9,3.6,-0.29,,5718,68930,8.3,8.1,8.5,0.96,2786,16,14,18,-0.69,29,26,31,0.38,7.7,0.76,23,21,25,-0.44,872205,95,-1.17,2714,19,17,21,0.30,81,277,29,0.25,5088,554,1.25,5782,226408,26,25,26,0.22,64605,9,8,9,-1.33,732,80,1256:1,-0.62,708,77,1299:1,-0.94,1809,197,508:1,1868,203,492:1,-0.40,56222,43,41,44,-1.62,5096,85,83,88,0.58,3578,60.3,57.8,62.9,0.88,10841,80,0.02,158333,222146,71.3,69.9,72.7,-1.27,34219,461956,7.4,-0.22,43525,23,21,25,0.20,99150,19763,5.0,0.59,73017,193349,38,36,39,0.71,927,10.1,0.25,4315,468,1.63,2246,49,47,51,-0.02,12.9,1.80,1636,0,-0.76,60040,16,15,16,-0.22,345194,425057,81,81,82,0.46,345194,23,22,23,-0.98
36031,New York,Essex,445,5989,5092,6885,0.00,189,8,5,12,-1.77,187,2.4,1.5,3.3,-1.51,187,4.0,1.9,6.0,0.71,,201,2448,8.2,7.1,9.3,0.87,188,14,9,21,-1.09,27,21,33,-0.17,8.4,-0.40,24,18,31,0.06,39370,100,-1.49,182,18,12,27,0.19,9,26,35,0.77,62,159,-0.96,167,8278,20,17,23,-0.43,3537,12,11,13,0.50,16,41,2435:1,0.75,13,34,2982:1,0.71,52,134,745:1,55,142,705:1,0.25,5820,65,58,72,0.03,684,89,82,96,-0.81,437,69.6,61.7,77.4,-0.81,334,84,-0.63,5017,9262,54.2,49.3,59.1,0.82,1537,17660,8.7,0.88,1256,19,14,24,-0.48,90871,23082,3.9,-0.86,2377,7160,33,25,41,0.09,61,15.7,-1.30,48,122,-0.61,115,59,48,69,1.00,11.1,-0.81,7467,21,0.83,2550,16,14,18,-0.21,12832,17048,75,72,78,0.08,12832,27,24,30,-0.55
36033,New York,Franklin,570,6769,5932,7605,0.91,184,15,11,21,0.24,181,4.0,2.9,5.2,0.42,181,2.9,1.8,4.1,-0.86,,290,3679,7.9,7.0,8.8,0.55,184,19,13,27,-0.22,31,24,38,1.00,7.6,0.92,26,20,33,0.94,31598,61,0.99,178,21,13,30,0.79,7,29,24,-0.25,77,149,-1.02,364,11673,31,28,34,0.92,5472,14,13,16,1.60,37,71,1400:1,-0.32,17,33,3040:1,0.74,114,221,453:1,116,224,446:1,-0.63,5980,72,65,79,0.55,830,87,81,93,-0.17,454,68.7,61.1,76.3,-0.66,716,79,0.16,6779,14210,47.7,44.1,51.3,1.61,1988,22139,9.0,1.11,2914,29,23,35,1.18,88021,17311,5.1,0.68,3933,10345,38,32,44,0.75,46,8.9,0.58,54,105,-0.72,143,55,46,64,0.66,11.2,-0.57,13930,46,2.77,2970,16,14,18,-0.25,14723,19477,76,74,77,0.10,14723,21,18,23,-1.17
36035,New York,Fulton,670,6191,5461,6920,0.23,195,18,13,25,1.07,189,6.5,4.2,8.8,3.44,190,5.3,3.4,7.2,2.56,,291,3950,7.4,6.6,8.2,0.03,194,18,12,26,-0.33,29,23,37,0.60,7.9,0.43,23,18,30,-0.21,46241,83,-0.42,188,19,12,27,0.24,6,29,21,-0.59,157,286,-0.25,402,12988,31,28,34,0.89,5057,11,10,13,0.06,27,49,2034:1,0.47,16,29,3412:1,0.87,50,92,1092:1,52,95,1050:1,0.75,4480,92,83,101,2.03,492,87,79,95,-0.17,303,61.1,52.3,69.9,0.75,780,72,1.39,7123,13395,53.2,48.6,57.7,0.94,2367,25956,9.1,1.23,2777,25,19,31,0.54,89023,20365,4.4,-0.28,5345,11551,46,40,52,1.87,58,10.6,0.12,79,142,-0.48,119,43,35,51,-0.64,11.3,-0.49,1009,3,-0.54,3660,16,14,18,-0.20,19263,23639,81,80,83,0.47,19263,28,25,31,-0.49
36037,New York,Genesee,666,6561,5799,7324,0.67,209,12,8,17,-0.68,209,4.0,2.6,5.4,0.42,209,4.2,2.5,5.8,0.99,,273,4499,6.1,5.4,6.8,-1.27,209,18,13,26,-0.28,29,23,36,0.54,8.7,-0.90,24,18,31,-0.02,40356,67,0.61,199,18,11,28,0.16,14,49,29,0.18,176,293,-0.21,351,15389,23,20,25,-0.11,5411,11,10,12,-0.02,20,33,2999:1,1.03,21,35,2831:1,0.64,71,119,837:1,74,124,803:1,0.44,3786,71,63,79,0.45,384,85,76,94,0.56,197,58.9,48.2,69.6,1.15,801,84,-0.54,9033,14140,63.9,59.6,68.1,-0.37,2119,31558,6.7,-0.81,2368,19,16,23,-0.43,92888,23067,4.0,-0.74,3681,12835,29,24,33,-0.52,79,13.2,-0.61,104,172,-0.29,166,55,47,64,0.66,12.7,1.48,0,0,-0.78,3195,13,12,15,-0.68,24129,28803,84,83,85,0.62,24129,31,29,33,-0.16
