FIPS,State,County,Unreliable,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,Sample Size,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,Food Environment Index,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,Unreliable,MV mortality rate,95% CI - Low,95% CI - High,Z-Score,Under review,Cases,Population,"Rates per 100,000",Z-Score,Teen Births ,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,PCP No,PCP Rate,PCP Ratio,Unreliable,Population,PCP No,PCP Rate,PCP Ratio,Z-Score,No of Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,No of Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,Mammography Rate,95% CI - Low,95% CI - High,Z-Score,Under review,AFGR,Z-Score,PSED Num,Population,PSED,Z-Score,% unemployed,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,% Single-Parent Households,Z-Score,Aggregate Population,Violent Crimes,Violent Crime Rate,Z-Score,Unreliable,Homicide Rate,95% CI - Low,95% CI - High,Z-Score,PM Days,Z-Score,Ozone Days,Z-Score,Unreliable,Zip Codes with Healthy Food,# Zip Codes,% Healthy Food,Z-Score,Rec Facs,Population,Rec Fac Rate,Z-Score,# Driving Deaths
36059,New York,Nassau,,10280,4483,4352,4614,-1.9,2758,13,11,15,-0.49,2706,3.1,2.8,3.5,-0.77,2720,2.7,2.4,3,-1.05,,109912,7.7,7.5,7.9,0.5,2749,15,13,16,-1.48,21,0,19,24,-2.19,2691,15,13,17,-0.88,,8,8,9,-1.1,,2606,1351625,193,-0.31,3779,12,12,12,-1.63,0,17,15,19,-0.46,2743,203,493:01:00,,1353151,2972,220,455:01:00,-2.31,312141,70,69,71,-0.66,4643,83,80,85,0.5,2333:1,60.7,58,63,0.94,,90,-1.99,232575,326657,71.2,-1.58,6.9,6.9,7,-1.25,6,5,8,-2.09,1952,23,21,26,0.5,19,-1.69,3972440,7181,181,-0.37,,,,,,3,0.89,3,0.34,,62,68,91,-1.7,204,1353151,15,-0.93,0
36061,New York,New York,,13616,5197,5078,5316,-1.12,3953,19,17,21,1.28,3853,3.6,3.3,3.9,0.1,3860,3.6,3.3,3.9,0.37,,142790,8.4,8.3,8.5,1.33,3945,16,15,18,-1.15,16,0,14,18,-4.34,3853,22,20,24,1.25,,4,4,4,-2.04,,10887,1634795,666,2.26,8577,32,31,32,0.66,0,16,13,18,-0.84,4337,266,376:01:00,,1631599,4561,280,358:01:00,-3.48,275741,66,65,67,-0.95,4010,77,74,79,2.1,777:1,55.7,53,58,1.62,,,0,503169,620480,81.1,-2.75,8.5,8.5,8.6,0.26,23,20,25,0.87,2698,27,25,30,1.5,44,1.74,,,,0,,,,,,8,3.25,3,0.34,,46,98,47,0.42,440,1631599,27,-3.14,0
36063,New York,Niagara,,2627,7141,6742,7540,0.99,720,15,12,19,0.16,703,4.3,3.5,5.1,1.31,707,4.2,3.4,5,1.31,,16260,7.7,7.3,8.1,0.52,717,26,22,30,0.71,27,0,22,32,0.12,709,17,14,21,-0.13,,11,10,13,-0.39,,839,214464,391,0.77,1565,28,27,30,0.25,0,16,13,18,-0.84,112,52,1912:01:00,,214197,156,73,1373:01:00,0.56,37905,99,95,102,1.41,776,83,76,89,0.51,16477:1,68.7,61,76,-0.17,,80,-0.38,31774,53254,59.7,-0.23,9.3,9.1,9.5,1.02,17,14,20,-0.2,534,18,14,22,-0.89,34,0.4,644052,2408,374,1.41,,,,,,3,0.89,3,0.34,,11,17,65,-0.43,24,214197,11,-0.2,0
36065,New York,Oneida,,2600,6893,6507,7280,0.72,785,14,12,17,-0.09,764,3.8,3.1,4.5,0.44,765,4.1,3.3,5,1.16,,17859,8.4,8,8.8,1.36,784,23,20,27,0.24,26,0,22,31,-0.25,770,15,12,19,-0.85,,11,9,12,-0.53,,752,231590,325,0.41,1888,33,31,34,0.8,0,17,14,20,-0.39,205,89,1125:01:00,,230540,298,129,774:01:00,-0.55,60773,80,78,82,0.05,1268,83,78,88,0.33,5123:1,69.3,63,75,-0.25,,80,-0.21,32336,57491,56.2,0.19,7.4,7.2,7.5,-0.78,21,17,25,0.59,573,21,17,26,0.03,37,0.77,695082,2009,289,0.63,,,,,,0,-0.52,0,-0.64,,16,39,41,0.7,29,230540,13,-0.57,0
36067,New York,Onondaga,,4518,6335,6074,6597,0.12,1461,14,12,16,-0.09,1426,3.7,3.2,4.1,0.27,1441,3.4,2.9,3.9,0.05,,38920,8.2,7.9,8.4,1.04,1457,19,16,22,-0.64,29,0,25,33,0.95,1431,17,15,20,-0.19,,9,8,10,-0.97,,2366,452633,523,1.48,3729,31,30,32,0.53,0,18,15,21,-0.14,654,144,693:01:00,,453373,846,187,536:01:00,-1.66,112112,61,60,62,-1.29,2058,89,85,93,-1.13,3043:1,70.8,66,75,-0.45,,75,0.44,80323,118221,67.9,-1.19,7.6,7.5,7.7,-0.59,15,12,17,-0.58,1033,22,18,25,0.11,36,0.66,1362521,5413,397,1.62,,,,,,0,-0.52,2,0.01,,33,41,81,-1.19,65,453373,14,-0.75,0
36069,New York,Ontario,,1008,5500,4981,6018,-0.79,424,9,6,12,-1.86,418,2.7,1.9,3.4,-1.46,423,2.9,2,3.8,-0.74,,7863,6.2,5.6,6.7,-1.29,424,17,13,22,-1.01,28,0,23,34,0.66,416,21,16,27,0.97,,13,10,15,-0.03,,198,104475,190,-0.33,534,20,18,22,-0.68,0,17,14,20,-0.3,102,97,1027:01:00,,104782,127,121,825:01:00,-0.39,16064,68,64,72,-0.81,226,88,75,100,-0.81,3082:1,79.4,66,93,-1.65,,85,-1.15,16694,24404,68.4,-1.25,7.3,7.1,7.5,-0.87,13,10,16,-0.91,300,18,13,25,-0.77,26,-0.65,312278,324,104,-1.08,,,,,,0,-0.52,0,-0.64,,7,14,50,0.27,12,104782,11,-0.2,0
36071,New York,Orange,,3264,5987,5718,6256,-0.26,882,17,13,21,0.66,862,3.4,2.8,4,-0.25,863,2.8,2.4,3.3,-0.89,,36803,6.8,6.5,7,-0.61,883,24,20,28,0.28,25,0,22,30,-0.5,863,19,15,25,0.53,,12,11,13,-0.19,,821,379647,216,-0.18,2275,24,23,25,-0.22,0,18,15,21,0.02,274,72,1385:01:00,,379520,318,84,1193:01:00,0.34,67187,81,79,84,0.17,1561,82,77,86,0.77,1133:1,62.4,57,67,0.7,,80,-0.33,57819,98026,59,-0.14,7.8,7.7,7.9,-0.4,15,12,17,-0.62,641,23,18,29,0.35,22,-1.22,1130789,3051,270,0.45,,,,,,1,-0.05,5,0.99,,27,38,71,-0.74,42,379520,11,-0.2,0
36073,New York,Orleans,,418,5473,4732,6213,-0.82,139,17,12,24,0.72,136,4.5,2.9,6.2,1.66,135,3.1,2,4.2,-0.42,,3187,7.3,6.4,8.2,0.01,138,28,20,38,1.15,29,0,23,37,0.9,135,14,8,22,-1.23,,16,12,21,0.77,,152,42135,361,0.6,372,33,30,36,0.82,0,18,15,22,0.06,10,24,4225:01:00,,42246,13,31,3250:01:00,1.38,5888,95,87,103,1.14,125,86,69,100,-0.28,38:1,58.3,41,76,1.26,,80,-0.76,4871,10777,45.2,1.49,9.3,8.9,9.7,1.02,19,14,23,0.1,97,21,14,31,-0.07,32,0.11,127196,243,191,-0.28,,,,,,4,1.36,1,-0.32,,3,7,43,0.61,3,42246,7,0.53,0
36075,New York,Oswego,,1376,6638,6152,7125,0.45,412,18,14,23,0.94,403,3.8,2.9,4.7,0.44,405,2.7,2,3.4,-1.05,,9634,7.5,7,8.1,0.32,413,33,27,39,2.11,30,0,24,37,1.4,402,24,19,29,1.81,,17,15,20,1.03,,148,121395,122,-0.7,1064,29,28,31,0.37,0,16,13,19,-0.81,45,37,2701:01:00,,121551,63,52,1929:01:00,0.97,26097,109,105,113,2.17,581,86,78,93,-0.31,13506:1,72,64,80,-0.63,,70,1.17,16053,31231,51.4,0.75,9.7,9.5,10,1.4,20,16,24,0.29,296,17,12,24,-0.96,31,-0.06,364706,503,138,-0.76,,,,,,0,-0.52,3,0.34,,10,21,48,0.38,10,121551,8,0.35,0
36077,New York,Otsego,,622,6007,5285,6729,-0.24,279,12,8,18,-0.74,269,3.9,2.7,5.1,0.62,278,4.2,2.9,5.4,1.31,,3816,7.6,6.7,8.4,0.33,278,23,17,30,0.16,28,0,22,34,0.37,275,16,11,22,-0.6,,15,11,18,0.41,,164,61962,265,0.08,290,13,11,14,-1.56,0,20,16,23,0.47,99,160,624:01:00,,61811,106,172,583:01:00,-1.37,18224,82,77,86,0.19,279,84,73,94,0.27,1315:1,68.4,59,78,-0.12,,75,0.53,6841,11461,59.7,-0.23,7.5,7.2,7.8,-0.68,21,16,25,0.5,205,17,12,25,-0.96,30,-0.09,186791,332,178,-0.4,,,,,,0,-0.52,0,-0.64,,8,28,29,1.29,7,61811,11,-0.2,0
36079,New York,Putnam,,770,4667,4186,5149,-1.7,277,9,6,13,-1.8,270,2.6,1.8,3.4,-1.64,269,2.5,1.7,3.2,-1.37,,7826,6.9,6.4,7.5,-0.42,276,15,10,21,-1.4,27,0,22,34,0.33,273,19,13,27,0.43,,9,7,12,-0.83,,96,99244,97,-0.83,144,7,5,8,-2.25,0,16,14,19,-0.62,68,69,1457:01:00,,99090,75,76,1321:01:00,0.5,20039,71,68,75,-0.54,352,81,72,90,0.94,3417:1,59.1,50,68,1.16,,90,-1.98,18262,26074,70,-1.44,6.7,6.5,6.9,-1.44,5,4,6,-2.38,196,20,14,28,-0.34,16,-2.09,297864,247,83,-1.27,,,,,,2,0.42,3,0.34,,7,8,88,-1.52,18,99090,18,-1.49,0
36081,New York,Queens,,17881,5072,4970,5174,-1.26,3232,20,19,22,1.78,3133,3.3,3,3.6,-0.42,3146,3.4,3.1,3.8,0.05,,214649,8.2,8.1,8.3,1.09,3225,15,13,17,-1.38,24,0,21,26,-1.2,3122,15,13,17,-0.95,,6,5,6,-1.68,,11682,2293007,510,1.41,12075,26,25,26,-0.05,0,23,20,25,1.4,2396,105,955:01:00,,2288574,2583,113,886:01:00,-0.23,308128,74,74,75,-0.33,5404,80,78,82,1.21,5736:1,50.8,49,53,2.3,,,0,424366,720895,58.9,-0.13,8.6,8.5,8.6,0.36,17,15,19,-0.17,2171,32,30,35,2.79,32,0.09,,,,0,,,,,,8,3.25,6,1.32,,61,64,95,-1.89,127,2288574,6,0.72,0
36083,New York,Rensselaer,,1615,6164,5735,6592,-0.07,523,14,11,19,-0.05,517,3.8,3.1,4.5,0.44,520,4.4,3.4,5.4,1.63,,12234,7.4,7,7.9,0.19,523,24,19,29,0.31,27,0,22,32,0.12,510,23,18,30,1.69,,11,9,13,-0.55,,422,155261,272,0.12,1056,27,26,29,0.14,0,15,12,18,-1,102,65,1527:01:00,,155751,136,87,1145:01:00,0.27,29750,87,84,90,0.57,643,83,76,90,0.43,14159:1,70.3,63,78,-0.39,,75,0.12,26655,41564,64.1,-0.75,7.4,7.2,7.6,-0.78,13,10,16,-0.86,380,22,17,28,0.2,33,0.3,465800,1599,343,1.13,,,,,,0,-0.52,1,-0.32,,12,27,44,0.54,11,155751,7,0.53,0
36085,New York,Richmond,,4449,5740,5508,5973,-0.53,833,15,12,18,0.13,810,3.4,2.8,4,-0.25,819,3.5,2.9,4.1,0.21,,40881,7.9,7.7,8.2,0.77,830,22,18,26,-0.04,25,0,21,29,-0.66,809,15,12,19,-0.91,,6,6,7,-1.52,,995,487407,204,-0.25,2257,20,19,21,-0.68,0,15,13,18,-0.94,703,144,693:01:00,,487365,734,151,664:01:00,-0.96,58396,73,71,75,-0.44,1139,85,79,90,-0.07,5077:1,53.1,48,58,1.98,,,0,85322,137029,62.3,-0.53,8.4,8.3,8.5,0.17,15,12,17,-0.62,575,23,18,28,0.35,26,-0.71,,,,0,,,,,,6,2.31,14,3.94,,12,13,92,-1.75,40,487365,8,0.35,0
36087,New York,Rockland,,2224,4529,4257,4800,-1.85,644,16,11,21,0.32,630,3,2.3,3.6,-0.94,630,3.4,2.5,4.2,0.05,,33177,6.7,6.4,7,-0.66,641,12,9,15,-2.07,25,0,21,30,-0.5,627,12,9,17,-1.73,,8,7,9,-1.13,,517,298545,173,-0.42,1327,18,17,19,-0.96,0,15,13,18,-0.97,370,124,807:01:00,,298747,402,135,743:01:00,-0.65,62678,66,64,68,-0.96,1215,86,80,91,-0.26,2119:1,63.2,58,68,0.6,,85,-1.31,46711,68892,67.8,-1.18,6.9,6.8,7.1,-1.25,18,15,21,-0.02,453,22,17,28,0.23,17,-1.99,891157,1588,178,-0.39,,,,,,0,-0.52,3,0.34,,19,26,73,-0.83,43,298747,14,-0.75,0
36089,New York,St. Lawrence,,1300,7480,6880,8081,1.36,473,16,12,19,0.29,467,4.2,3.3,5.1,1.14,466,3.3,2.3,4.4,-0.11,,8430,7.4,6.8,7.9,0.13,474,27,22,33,0.94,30,0,24,36,1.24,467,19,15,24,0.37,,14,11,16,0.13,,216,109701,197,-0.29,869,25,23,27,-0.11,0,18,15,22,0.06,64,58,1712:01:00,,109553,82,75,1336:01:00,0.52,27512,122,118,126,3.09,719,86,79,92,-0.3,1423:1,74.8,67,83,-1.01,,70,1.37,13660,26243,52.1,0.67,9.8,9.5,10.1,1.49,23,18,27,0.85,344,21,15,28,-0.02,32,0.11,329282,552,168,-0.49,,,,,,1,-0.05,0,-0.64,,15,35,43,0.61,4,109553,4,1.08,0
36091,New York,Saratoga,,1820,4762,4454,5070,-1.6,747,11,9,14,-1.02,734,2.8,2.3,3.3,-1.29,736,2.5,1.8,3.1,-1.37,,16828,6.2,5.9,6.6,-1.23,744,18,15,22,-0.74,26,0,22,30,-0.38,736,19,16,23,0.37,,10,9,12,-0.58,,277,217191,128,-0.67,799,16,15,18,-1.11,0,16,13,18,-0.81,178,82,1224:01:00,,217958,249,114,875:01:00,-0.25,38900,65,62,67,-1.04,675,88,81,95,-0.95,3892:1,71,64,78,-0.49,,85,-1.03,41150,59359,69.3,-1.36,6.3,6.2,6.5,-1.82,9,7,11,-1.65,542,15,12,20,-1.44,22,-1.2,648474,608,94,-1.17,,,,,,0,-0.52,2,0.01,,12,20,60,-0.21,39,217958,18,-1.49,0
36093,New York,Schenectady,,1509,6569,6092,7047,0.37,517,12,9,15,-0.86,512,2.9,2.2,3.6,-1.12,505,2.7,2,3.4,-1.05,,12686,8.1,7.6,8.6,0.96,515,21,16,26,-0.25,27,0,22,33,0.16,502,17,13,21,-0.38,,8,6,9,-1.22,,476,151427,314,0.35,1073,31,29,33,0.54,0,15,12,18,-0.97,166,110,911:01:00,,151252,242,160,625:01:00,-1.15,37267,69,67,72,-0.69,611,87,79,94,-0.54,6576:1,68.5,61,76,-0.14,,75,0.73,25427,38383,66.2,-0.99,7.2,7.1,7.4,-0.97,18,15,22,0.09,365,14,10,19,-1.71,37,0.87,452283,2225,492,2.5,,,,,,0,-0.52,0,-0.64,,9,13,69,-0.65,17,151252,11,-0.2,0
36095,New York,Schoharie,,324,6068,5082,7054,-0.18,143,14,8,21,-0.27,141,3.8,2,5.5,0.44,141,2.8,1.6,4,-0.89,,2040,6.4,5.4,7.5,-1,143,,,,0,26,0,20,33,-0.21,142,17,10,27,-0.38,,17,11,22,0.84,,31,31910,97,-0.83,156,15,13,18,-1.25,0,18,14,21,-0.1,7,22,4543:01:00,,31803,10,31,3180:01:00,1.36,8486,88,82,95,0.68,211,84,72,97,0.05,106:1,76.9,61,93,-1.3,,80,-0.15,3716,7291,51,0.8,8.8,8.3,9.2,0.55,17,12,21,-0.26,106,,,,0,30,-0.21,95816,83,87,-1.24,,,,,,0,-0.52,0,-0.64,,3,17,18,1.81,1,31803,3,1.27,0
36097,New York,Schuyler,,195,4884,3831,6137,-1.46,91,14,8,25,-0.12,89,3,1.4,4.7,-0.94,89,1.9,0.4,3.3,-2.31,,1269,6.2,4.8,7.5,-1.31,91,,,,0,26,0,20,33,-0.13,88,,,,0,x,12,7,19,-0.23,,27,18888,143,-0.58,137,32,26,37,0.65,0,18,15,22,0.09,10,53,1887:01:00,,18868,15,80,1258:01:00,0.42,4522,98,89,107,1.35,111,85,68,100,-0.04,898:1,71.2,51,92,-0.52,,75,0.65,2384,4414,54,0.45,8.4,7.8,8.9,0.17,20,15,25,0.34,66,16,9,28,-1.24,22,-1.26,56933,46,81,-1.29,,,,,,0,-0.52,0,-0.64,,1,10,10,2.18,1,18868,5,0.9,0
36099,New York,Seneca,,382,6125,5219,7031,-0.11,133,,,,0,125,3.3,2.1,4.5,-0.42,128,3.7,1.6,5.7,0.52,,2542,7,6,8,-0.32,132,29,20,40,1.37,30,0,23,38,1.36,131,17,11,27,-0.1,,18,13,24,1.21,,76,34086,223,-0.15,210,28,24,31,0.17,0,19,15,22,0.22,9,26,3784:01:00,,34060,13,38,2620:01:00,1.23,6457,77,70,83,-0.17,132,91,75,100,-1.68,2838:1,81.4,60,100,-1.93,,75,0.85,4356,8915,48.9,1.05,7.6,7.2,8,-0.59,17,13,21,-0.17,92,,,,0,33,0.3,102526,136,133,-0.81,,,,,,0,-0.52,0,-0.64,,4,6,67,-0.53,0,34060,0,1.82,0
36101,New York,Steuben,,1164,7044,6451,7638,0.89,382,14,10,19,-0.12,374,4.3,3.3,5.2,1.31,381,4,3,5,1,,7957,7.6,7,8.2,0.39,383,30,24,36,1.49,29,0,24,36,1.03,379,17,13,23,-0.16,,17,14,20,0.82,,169,96573,175,-0.41,754,32,30,35,0.72,0,16,13,19,-0.59,61,63,1581:01:00,,96452,85,88,1135:01:00,0.26,25257,89,85,93,0.73,559,83,75,91,0.4,16075:1,71.3,63,80,-0.52,,85,-0.99,13013,23206,56.1,0.2,9.7,9.4,9.9,1.4,19,15,23,0.21,281,24,19,31,0.8,31,0.04,290348,580,200,-0.19,,,,,,2,0.42,1,-0.32,,16,24,67,-0.53,3,96452,3,1.27,0
36103,New York,Suffolk,,13094,5414,5282,5545,-0.89,3165,13,12,15,-0.49,3117,3.2,2.9,3.5,-0.6,3118,3.3,2.9,3.7,-0.11,,135859,7.4,7.3,7.6,0.19,3150,19,17,21,-0.6,25,0,22,27,-0.79,3082,18,16,20,0.18,,11,11,12,-0.35,,3136,1512224,207,-0.23,6337,18,18,19,-0.89,0,16,14,18,-0.71,1396,92,1084:01:00,,1513435,1666,110,908:01:00,-0.17,301047,73,72,74,-0.45,5520,82,80,84,0.67,5130:1,59.7,57,62,1.07,,85,-1.44,254679,397516,64.1,-0.75,7.3,7.2,7.3,-0.87,7,6,8,-2,2248,22,20,25,0.28,21,-1.37,4423447,8314,188,-0.3,,,,,,1,-0.05,11,2.95,,83,90,92,-1.74,214,1513435,14,-0.75,0
36105,New York,Sullivan,,1019,8471,7740,9201,2.44,259,16,10,23,0.38,252,3.7,2.6,4.7,0.27,256,3.9,2.6,5.2,0.84,,6204,7.9,7.2,8.5,0.71,260,32,24,40,1.84,26,0,20,32,-0.38,257,18,13,26,0.15,,20,16,23,1.53,,227,76189,298,0.26,648,35,32,38,1.05,0,21,17,25,0.89,43,57,1767:01:00,,75969,54,71,1407:01:00,0.59,19258,71,67,75,-0.59,425,88,79,97,-0.85,5426:1,60.7,52,70,0.94,,65,2.08,9802,19389,50.6,0.85,8.7,8.4,9,0.45,21,17,26,0.63,180,27,20,36,1.5,33,0.25,228026,755,331,1.01,,,,,,0,-0.52,1,-0.32,,18,46,39,0.79,6,75969,8,0.35,0
36107,New York,Tioga,,554,5732,5008,6456,-0.54,264,11,8,15,-1.05,255,3.3,2.2,4.4,-0.42,257,3.6,2.3,4.8,0.37,,4080,7.9,7,8.7,0.71,261,21,16,28,-0.17,28,0,22,35,0.74,258,18,12,25,-0.04,,14,10,18,0.32,,58,50171,116,-0.73,386,31,28,34,0.58,0,16,13,19,-0.55,18,36,2791:01:00,,50235,31,62,1620:01:00,0.77,12750,64,59,68,-1.08,244,89,77,100,-1.27,16745:1,69.5,58,81,-0.28,,80,-0.28,6562,11939,55,0.33,8.1,7.8,8.4,-0.11,14,11,18,-0.69,200,18,12,26,-0.77,26,-0.67,151253,104,69,-1.4,,,,,,0,-0.52,0,-0.64,,7,12,58,-0.13,3,50235,6,0.72,0
36109,New York,Tompkins,,647,4488,4003,4974,-1.9,382,13,9,18,-0.52,374,2.9,2.2,3.6,-1.12,375,3.5,2.5,4.4,0.21,,6251,6.7,6.1,7.3,-0.67,381,14,10,19,-1.6,24,0,20,30,-0.91,377,14,11,19,-1.07,,9,7,11,-0.94,,183,101136,181,-0.38,350,8,7,9,-2.06,0,28,24,33,3.27,102,101,990:01:00,,101027,144,143,702:01:00,-0.8,18300,63,59,66,-1.18,270,91,79,100,-1.64,2659:1,70.5,59,82,-0.42,,80,-0.21,16613,21353,77.8,-2.36,5.8,5.6,6,-2.29,15,11,18,-0.57,288,17,12,24,-0.99,25,-0.8,302591,407,135,-0.8,,,,,,0,-0.52,0,-0.64,,7,10,70,-0.68,14,101027,14,-0.75,0
36111,New York,Ulster,,1930,6429,6007,6850,0.22,589,12,9,16,-0.74,578,3.4,2.7,4.1,-0.25,570,3.8,3,4.6,0.68,,12707,7.3,6.8,7.7,0,590,27,22,31,0.86,28,0,23,33,0.49,582,23,18,28,1.59,,15,13,17,0.41,,337,181670,186,-0.35,936,20,19,22,-0.66,0,21,17,24,0.79,156,86,1165:01:00,,181722,252,139,721:01:00,-0.73,45970,76,74,79,-0.19,887,82,76,88,0.65,1387:1,63.4,57,69,0.57,,75,0.26,28167,47489,59.3,-0.18,7.7,7.5,7.9,-0.49,15,12,19,-0.53,403,20,15,27,-0.24,30,-0.2,545402,1425,261,0.37,,,,,,0,-0.52,4,0.66,,26,42,62,-0.3,25,181722,14,-0.75,0
36113,New York,Warren,,742,6725,5999,7451,0.54,265,11,7,16,-1.24,258,2.7,2,3.4,-1.46,261,2.3,1.5,3,-1.68,,4494,6.6,5.9,7.3,-0.77,264,24,18,31,0.33,29,0,23,35,0.86,250,21,15,29,1.09,,14,11,17,0.22,,96,65971,146,-0.57,420,27,24,29,0.09,0,18,15,22,-0.04,77,117,856:01:00,,65926,104,158,634:01:00,-1.1,15885,75,71,80,-0.27,289,90,79,100,-1.34,687:1,77.8,65,91,-1.43,,80,0.1,9149,15919,57.5,0.03,7.9,7.7,8.2,-0.3,15,12,19,-0.46,193,21,14,29,-0.17,34,0.47,197912,331,167,-0.49,,,,,,0,-0.52,0,-0.64,,11,19,58,-0.11,15,65926,23,-2.4,0
36115,New York,Washington,,670,6645,5907,7383,0.45,242,18,12,25,1,238,4,2.9,5.1,0.79,235,3.1,1.7,4.6,-0.42,,4497,7.4,6.6,8.1,0.11,243,29,22,38,1.43,27,0,21,33,0.04,236,13,8,20,-1.51,,18,14,22,1.16,,73,62804,116,-0.73,429,30,27,33,0.44,0,19,15,23,0.25,16,26,3920:01:00,,62727,24,38,2614:01:00,1.23,14340,78,74,83,-0.05,259,89,77,100,-1.13,144:1,70.5,59,82,-0.42,,75,0.55,7283,16302,44.7,1.55,7.5,7.2,7.8,-0.68,16,12,20,-0.37,178,18,11,27,-0.84,29,-0.24,187895,336,179,-0.39,,,,,,0,-0.52,0,-0.64,,6,18,33,1.07,8,62727,13,-0.57,0
36117,New York,Wayne,,991,6202,5638,6766,-0.03,351,14,10,18,-0.33,345,4.3,3.2,5.5,1.31,345,4,2.9,5.1,1,,7737,6.5,6,7.1,-0.89,351,27,22,33,0.96,28,0,23,35,0.7,341,16,12,22,-0.44,,18,15,21,1.19,,178,91564,194,-0.3,726,33,30,35,0.75,0,17,14,20,-0.49,35,38,2615:01:00,,91517,45,49,2034:01:00,1.02,13611,82,77,86,0.18,208,87,74,99,-0.53,18303:1,65.7,52,79,0.25,,80,0.05,13413,22674,59.2,-0.17,8.3,8,8.5,0.07,14,11,18,-0.66,247,23,17,30,0.45,29,-0.24,274406,510,186,-0.32,,,,,,1,-0.05,2,0.01,,10,15,67,-0.53,7,91517,8,0.35,0
36119,New York,Westchester,,7144,4625,4471,4778,-1.75,2092,12,10,13,-0.96,2056,3,2.6,3.4,-0.94,2078,2.8,2.4,3.2,-0.89,,86527,7.9,7.7,8.1,0.71,2088,14,12,16,-1.68,19,0,17,22,-3.14,2038,14,12,16,-1.32,,7,6,7,-1.47,,2566,953943,269,0.1,3942,18,18,19,-0.88,0,18,16,20,-0.07,2014,212,472:01:00,,949835,2224,234,427:01:00,-2.59,207802,63,62,65,-1.12,2967,80,76,83,1.28,266:1,62.2,59,65,0.73,,80,-0.35,168359,247403,68.1,-1.22,7.1,7,7.2,-1.06,11,10,13,-1.18,1464,25,22,28,0.85,26,-0.72,2849240,7614,267,0.43,,,,,,2,0.42,7,1.65,,62,68,91,-1.7,198,949835,21,-2.04,0
36121,New York,Wyoming,,405,6003,5166,6840,-0.25,172,13,8,23,-0.37,164,2.6,1.5,3.6,-1.64,167,3.7,2.1,5.3,0.52,,2955,5.1,4.4,5.9,-2.5,173,21,15,29,-0.21,27,0,21,34,0.04,170,16,10,23,-0.63,,17,12,22,0.89,,52,41652,125,-0.68,195,20,17,23,-0.67,0,21,17,24,0.79,26,63,1598:01:00,,41549,35,84,1187:01:00,0.33,5990,84,77,92,0.38,80,76,57,95,2.18,755:1,54.2,37,71,1.84,,85,-0.83,5660,11971,47.3,1.24,9,8.6,9.4,0.74,16,12,20,-0.35,129,19,13,29,-0.44,27,-0.6,125634,207,165,-0.52,,,,,,0,-0.52,0,-0.64,,7,17,41,0.69,4,41549,10,-0.02,0
36123,New York,Yates,,257,5675,4611,6738,-0.6,121,,,,0,118,3.2,1.7,4.7,-0.6,116,2.6,1.1,4,-1.21,,2118,5.5,4.5,6.5,-2.1,121,,,,0,24,0,18,30,-1.28,117,15,9,24,-1.01,,15,9,21,0.5,,37,24652,150,-0.54,147,19,16,22,-0.86,0,20,17,24,0.7,15,61,1638:01:00,,24573,23,94,1068:01:00,0.15,4944,68,61,76,-0.76,93,88,69,100,-0.96,3510:1,68.9,48,90,-0.19,,80,-0.72,2211,4923,44.9,1.52,6.7,6.3,7.2,-1.44,23,17,29,0.92,88,,,,0,27,-0.58,73533,51,69,-1.39,,,,,,0,-0.52,0,-0.64,,3,9,33,1.07,2,24573,8,0.35,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Recently, we detected an error in our estimates of Primary Care Physicians.  The number of General Practice Physicians was double counted.  As a result, the estimate of Primary Care Physicians was incorrect.  We have corrected the errors.   The correct estimates of the rate of Primary Care Physicians are available on our website and in the downloadable data files.  The specific county Rankings for 2010 - 2012 will not be recalculated based on the updated data.  The old data that the Rankings are based on is included in all Data Files.  You can find all data files at: http://www.countyhealthrankings.org/rankings/ranking-methods/download-rankings-data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
