FIPS,State,County,Unreliable,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,Sample Size,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,Food Environment Index,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,Unreliable,MV mortality rate,95% CI - Low,95% CI - High,Z-Score,Under review,Cases,Population,"Rates per 100,000",Z-Score,Teen Births ,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,PCP No,PCP Rate,PCP Ratio,Unreliable,Population,PCP No,PCP Rate,PCP Ratio,Z-Score,No of Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,No of Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,Mammography Rate,95% CI - Low,95% CI - High,Z-Score,Under review,AFGR,Z-Score,PSED Num,Population,PSED,Z-Score,% unemployed,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,% Single-Parent Households,Z-Score,Aggregate Population,Violent Crimes,Violent Crime Rate,Z-Score,Unreliable,Homicide Rate,95% CI - Low,95% CI - High,Z-Score,PM Days,Z-Score,Ozone Days,Z-Score,Unreliable,Zip Codes with Healthy Food,# Zip Codes,% Healthy Food,Z-Score,Rec Facs,Population,Rec Fac Rate,Z-Score,# Driving Deaths
36019,New York,Clinton,,845,6463,5814,7111,0.25,315,16,12,21,0.38,314,3.5,2.6,4.3,-0.08,311,4.2,2.6,5.8,1.31,,5480,7.8,7.1,8.5,0.61,314,21,16,29,-0.13,26,0,21,32,-0.42,313,25,19,31,2.12,,13,10,16,0.11,,137,81947,167,-0.45,494,21,20,23,-0.53,0,19,16,23,0.38,62,76,1318:01:00,,81699,78,96,1047:01:00,0.11,18297,94,90,99,1.1,481,90,82,99,-1.56,2918:1,75.5,65,86,-1.11,,75,0.46,12262,23525,52.1,0.67,9.3,9.1,9.6,1.02,18,14,22,0,230,21,13,31,-0.09,32,0.07,246015,491,200,-0.2,,,,,,3,0.89,0,-0.64,,8,24,33,1.07,4,81699,5,0.9,0
36021,New York,Columbia,,738,7013,6192,7834,0.85,283,13,8,19,-0.58,277,3.8,2.3,5.3,0.44,274,3.3,2.3,4.3,-0.11,,4195,7,6.2,7.7,-0.36,283,16,12,21,-1.21,26,0,21,32,-0.17,274,24,17,31,1.81,,14,10,17,0.18,,89,62006,144,-0.58,353,26,23,28,-0.05,0,21,17,24,0.83,31,50,1999:01:00,,61961,50,81,1239:01:00,0.4,16778,73,69,77,-0.46,314,83,73,93,0.46,10327:1,70.2,60,81,-0.38,,70,1.48,8077,13929,58,-0.03,7.4,7.1,7.6,-0.78,16,12,19,-0.42,207,21,15,29,-0.02,31,-0.07,186914,362,194,-0.25,,,,,,0,-0.52,1,-0.32,,12,23,52,0.16,9,61961,15,-0.93,0
36023,New York,Cortland,,510,6879,5991,7768,0.71,175,18,12,26,1.1,173,3.6,2.4,4.8,0.1,174,3.8,2.5,5,0.68,,3769,8,7.1,8.8,0.81,178,27,20,36,0.92,28,0,21,35,0.41,178,16,10,23,-0.69,,10,7,14,-0.6,,108,48302,224,-0.14,354,21,19,23,-0.61,0,18,14,21,-0.14,28,58,1719:01:00,,48131,41,85,1174:01:00,0.31,10651,107,101,114,2.05,247,87,75,98,-0.55,566:1,80.3,66,94,-1.77,,70,1.08,6140,10465,58.7,-0.11,9.1,8.8,9.5,0.83,19,14,23,0.14,118,20,12,31,-0.39,33,0.22,144944,340,235,0.13,,,,,,0,-0.52,0,-0.64,,4,8,50,0.27,4,48131,8,0.35,0
36025,New York,Delaware,,638,6670,5851,7489,0.48,228,13,9,19,-0.43,223,3.5,2.5,4.6,-0.08,217,2.8,1.9,3.7,-0.89,,3086,6.9,6,7.8,-0.43,225,21,15,28,-0.21,27,0,21,33,-0.05,226,20,14,26,0.56,,20,15,25,1.64,,49,46085,106,-0.78,273,22,20,25,-0.41,0,19,15,23,0.28,20,44,2297:01:00,,45938,27,59,1701:01:00,0.83,14328,92,87,97,0.94,279,81,70,91,1.03,7656:1,63.8,53,75,0.51,,80,-0.4,4591,9397,48.9,1.05,8.5,8.2,8.9,0.26,24,18,30,1.1,161,24,16,34,0.6,32,0.08,138718,252,182,-0.36,,,,,,0,-0.52,0,-0.64,,7,29,24,1.5,5,45938,11,-0.2,0
36027,New York,Dutchess,,2652,5465,5173,5758,-0.83,865,10,8,13,-1.46,844,3.1,2.5,3.6,-0.77,853,3.3,2.7,3.8,-0.11,,22267,6.9,6.5,7.2,-0.49,863,19,16,22,-0.66,27,0,23,31,0.04,849,16,13,20,-0.51,,12,10,13,-0.33,,621,292878,212,-0.21,1223,15,15,16,-1.22,0,18,16,21,0.06,242,83,1209:01:00,,292500,293,100,998:01:00,0.02,67547,71,69,73,-0.61,1372,84,79,89,0.17,411:1,65.5,61,70,0.27,,75,0.24,47053,75641,62.2,-0.52,7.6,7.5,7.8,-0.59,11,9,13,-1.35,614,20,16,25,-0.24,24,-0.98,877448,2627,299,0.72,,,,,,1,-0.05,0,-0.64,,23,29,79,-1.13,34,292500,12,-0.38,0
36029,New York,Erie,,10681,7310,7106,7514,1.18,2910,14,12,15,-0.3,2849,3.9,3.5,4.4,0.62,2868,3.4,3.1,3.8,0.05,,72023,8.3,8.1,8.5,1.2,2901,18,17,20,-0.74,27,0,24,30,0.04,2855,18,16,20,0.12,,8,7,8,-1.22,,4722,909845,519,1.46,6498,28,28,29,0.28,0,16,13,18,-0.81,1097,121,829:01:00,,909858,1311,144,694:01:00,-0.84,140251,60,59,62,-1.35,2327,84,81,88,0.05,5870:1,62.4,59,66,0.7,,75,0.47,158004,232216,68,-1.21,8.1,8.1,8.2,-0.11,18,16,21,0.09,2101,19,17,22,-0.49,35,0.59,2741535,14254,520,2.75,,,,,,1,-0.05,7,1.65,,46,61,75,-0.94,108,909858,12,-0.38,0
36031,New York,Essex,,425,6109,5227,6991,-0.13,183,11,7,17,-1.02,180,3,1.9,4.1,-0.94,181,2.9,1.7,4.2,-0.74,,2529,5.9,5,6.8,-1.62,183,16,11,24,-1.15,25,0,20,32,-0.58,178,22,15,31,1.4,,17,12,22,0.96,,36,37826,95,-0.84,211,24,21,28,-0.2,0,23,20,27,1.66,17,45,2220:01:00,,37740,26,69,1452:01:00,0.63,12460,81,76,86,0.14,273,83,72,94,0.46,232:1,73.4,63,84,-0.81,,80,-0.1,5169,9650,53.6,0.49,9.1,8.7,9.5,0.83,17,13,22,-0.11,139,16,10,25,-1.31,28,-0.43,114166,193,169,-0.48,,,,,,1,-0.05,3,0.34,,12,27,44,0.54,7,37740,19,-1.67,0
36033,New York,Franklin,,559,6215,5466,6964,-0.02,181,16,11,23,0.48,176,3.8,2.5,5.1,0.44,178,3.6,2.2,4.9,0.37,,3467,8.1,7.2,9,1.01,181,18,12,26,-0.84,28,0,22,35,0.49,174,18,11,27,-0.04,,15,11,19,0.54,,59,50521,117,-0.73,387,33,30,36,0.8,0,19,15,23,0.25,35,69,1441:01:00,,50440,49,97,1029:01:00,0.08,13331,80,75,85,0.07,334,82,73,92,0.58,7206:1,71.8,60,83,-0.6,,75,0.47,6264,14316,43.8,1.65,8.6,8.2,8.9,0.36,22,17,27,0.7,140,22,14,31,0.11,34,0.43,151316,392,259,0.35,,,,,,0,-0.52,3,0.34,,9,18,50,0.27,5,50440,10,-0.02,0
36035,New York,Fulton,,618,6808,6019,7598,0.63,213,19,13,26,1.32,207,5.1,3,7.1,2.7,210,3.6,2.3,4.9,0.37,,4103,7,6.2,7.8,-0.35,213,30,22,38,1.45,27,0,21,35,0.33,210,21,15,29,1.03,,17,13,21,0.98,,95,55024,173,-0.42,465,37,34,40,1.26,0,17,14,20,-0.43,26,47,2120:01:00,,55122,35,64,1575:01:00,0.74,13947,82,77,86,0.2,257,88,76,99,-0.9,1837:1,68.8,57,80,-0.18,,70,1.87,6641,13904,47.8,1.18,9.6,9.3,10,1.3,23,17,28,0.85,144,19,12,28,-0.67,44,1.75,165188,328,199,-0.21,,,,,,0,-0.52,0,-0.64,,4,7,57,-0.07,5,55122,9,0.17,0
36037,New York,Genesee,,595,6160,5428,6891,-0.08,233,14,10,18,-0.3,229,4,2.8,5.2,0.79,229,3.5,2.2,4.7,0.21,,4628,6,5.3,6.7,-1.45,233,24,18,31,0.37,28,0,22,35,0.66,228,18,13,26,0.21,,18,14,22,1.09,,133,57821,230,-0.11,355,23,20,25,-0.39,0,19,15,22,0.12,24,41,2415:01:00,,57950,31,54,1869:01:00,0.93,9747,90,84,95,0.78,186,87,73,100,-0.53,4139:1,63.7,50,78,0.52,,80,-0.15,8280,14130,58.6,-0.1,7.6,7.4,7.9,-0.59,14,10,17,-0.77,170,22,16,31,0.3,28,-0.49,174490,306,175,-0.42,,,,,,0,-0.52,0,-0.64,,4,14,29,1.29,4,57950,7,0.53,0
