FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,LBW Births,Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Driving Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,Z-Score,Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# PCP,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,AFGR,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,Annual Violent Crimes,Violent Crime Rate,Z-Score,Average daily PM25,Z-Score,% pop in viol,Pop. In Viol,Z-Score,# Rec Facilities,Rec Facility Rate,Z-Score,# Limited Access,% Limited Access,Z-Score,# Fast Foods,% Fast Foods,Z-Score
36039,New York,Greene,676,6914,6087,7741,1.22,211,9,6,15,-1.59,209,3.7,2,5.5,0.11,206,2.6,1.8,3.3,-1.17,,303,3163,9.6,8.6,10.6,2.39,213,26,19,36,1.1,29,23,35,0.34,0,26,21,32,0.22,206,17,11,25,-0.26,52,15,11,20,1.27,109,222,-0.35,263,10510,25,22,28,0.07,4892,13,11,15,0.24,16,33,3072:01:00,1.06,19,36,2766:01:00,0.49,6215,56,50,62,-1.1,676,83,76,90,1.11,8193:1,464,65.7,58,73,0.63,79,0.19,5680,11316,50.2,45.1,55.3,1.09,2057,23683,8.7,0.42,1959,22,17,27,0.05,,,,,0,3037,9332,33,26,39,0.14,101,205,-0.16,10.4,-0.88,24,6567,0.86,8,16.3,-1.24,1787,4,-0.22,30,27,-1.74
36041,New York,Hamilton,77,7590,5990,9486,2.06,,,,,0,,,,,0,,,,,0,,,,,,,0,,,,,0,25,19,32,-0.75,0,23,16,32,-0.74,,,,,0,,,,,0,3,62,-1.12,,,,,,0,638,17,15,19,2.31,1,21,4835:01:00,1.48,,,,0,1455,50,38,62,-1.51,145,90,74,100,-1.34,1611:1,132,71.2,57,86,-0.5,88,-1.41,534,901,59.3,43.4,75.1,0.01,234,2999,7.8,-0.38,147,19,14,24,-0.4,,,,,0,163,815,20,12,28,-1.5,4,88,-0.99,10.3,-1.02,44,1390,2.23,0,0,1.74,305,6,0.68,5,23,-2.28
36043,New York,Herkimer,718,6411,5664,7159,0.6,246,12,8,17,-0.87,241,3.1,2.1,4.1,-0.74,241,4.4,2.9,6,1.35,,321,4666,6.9,6.2,7.6,-0.62,245,19,13,27,-0.34,32,27,39,1.49,0,27,22,33,0.62,235,25,18,33,1.91,57,13,10,16,0.57,138,214,-0.39,449,16874,27,24,29,0.27,6674,13,11,14,0.09,24,37,2686:01:00,0.89,21,32,3138:01:00,0.68,6893,98,91,105,1.78,704,87,80,94,-0.26,21493:1,434,73.7,66,82,-1.02,77,0.41,8628,14859,58.1,54.1,62.1,0.15,2607,30880,8.4,0.15,3381,25,20,29,0.5,201,22,15,32,0.32,4501,14317,31,27,36,0,177,302,0.53,10.5,-0.74,22,8718,0.72,5,7.8,0.32,2841,4,0.04,42,38,-0.44
36045,New York,Jefferson,1043,6167,5679,6656,0.29,436,14,11,17,-0.25,432,3.9,3.1,4.8,0.39,430,3.2,2.3,4.1,-0.33,,895,13019,6.9,6.4,7.3,-0.62,434,28,22,34,1.39,32,27,37,1.27,0,27,22,32,0.52,423,22,17,29,1.23,87,11,9,13,0.05,595,512,1.05,1134,25902,44,41,46,2.41,13077,13,12,15,0.43,53,45,2201:01:00,0.6,86,70,1428:01:00,-0.93,10199,72,67,77,-0.01,1239,88,83,93,-0.62,4667:1,715,71.3,65,78,-0.53,80,-0.08,18547,32403,57.2,54.2,60.3,0.25,4767,48996,9.7,1.31,7690,26,21,32,0.8,382,16,11,23,-1.25,9607,28750,33,30,37,0.25,220,187,-0.29,10.6,-0.54,33,37009,1.49,5,4.3,0.96,6033,5,0.3,91,42,0.17
36047,New York,Kings,22670,6284,6178,6390,0.44,4212,20,18,21,1.63,4069,3.7,3.4,4,0.11,4122,3.5,3.2,3.8,0.09,,24608,287579,8.6,8.5,8.7,1.27,4200,15,13,16,-1.11,25,23,27,-0.97,0,28,26,30,0.72,4028,13,12,15,-1.29,840,5,5,5,-1.7,20790,830,2.58,18551,594362,31,31,32,0.84,358056,16,15,17,1.81,1571,63,1596:01:00,-0.02,1466,58,1735:01:00,-0.41,156037,75,74,76,0.21,18897,85,84,87,0.32,2377:1,9523,57.2,56,59,2.38,64,2.56,457480,761781,60.1,59.4,60.8,-0.09,108686,1119975,9.7,1.31,199819,34,32,36,2.06,3134,31,29,34,2.55,234689,590751,40,39,41,1.08,14524,567,2.4,11.6,0.76,,,0,120,4.8,0.87,77,0,-1.43,1762,52,1.37
36049,New York,Lewis,263,5709,4693,6725,-0.27,147,15,9,23,0.18,140,3.5,2.2,4.7,-0.17,142,2.5,1.3,3.6,-1.31,,143,2252,6.3,5.3,7.4,-1.29,147,20,13,30,-0.18,29,22,36,0.41,0,27,20,35,0.55,,,,,0,35,19,13,26,2.28,36,133,-0.78,200,7021,28,25,32,0.5,3048,13,12,15,0.38,17,63,1594:01:00,-0.02,5,18,5482:01:00,1.25,2640,66,56,76,-0.4,307,89,78,99,-0.94,6775:1,198,67.7,56,79,0.22,82,-0.3,2805,6303,44.5,39.8,49.2,1.77,1192,12521,9.5,1.13,1300,20,15,26,-0.2,118,22,14,33,0.25,1329,6539,20,16,25,-1.45,27,103,-0.88,10.6,-0.58,43,4700,2.15,1,3.7,1.07,1530,6,0.46,12,32,-1.07
36051,New York,Livingston,602,4701,4147,5254,-1.52,240,10,6,15,-1.43,236,2.4,1.6,3.3,-1.73,238,1.8,1,2.5,-2.28,,262,4270,6.1,5.4,6.9,-1.51,239,16,11,23,-0.96,28,22,34,0.09,0,25,19,31,-0.18,236,13,8,21,-1.35,53,12,9,15,0.25,121,185,-0.53,274,21570,13,11,14,-1.47,5353,11,9,12,-1,32,49,2042:01:00,0.47,31,44,2293:01:00,0.18,3197,63,55,72,-0.58,294,90,79,100,-1.4,6534:1,155,68.4,55,81,0.08,87,-1.22,8786,14806,59.3,55.2,63.5,0,2505,32087,7.8,-0.38,2071,17,13,20,-0.84,204,19,12,28,-0.6,3865,13063,30,25,34,-0.25,64,100,-0.9,11.9,1.09,36,19813,1.69,8,12.2,-0.5,5756,9,1.51,37,41,0.01
36053,New York,Madison,665,5250,4654,5845,-0.84,257,14,10,20,-0.16,252,3.3,2.4,4.2,-0.46,254,3,1.8,4.2,-0.61,,337,5015,6.7,6,7.4,-0.84,256,23,16,32,0.5,27,22,33,-0.27,0,23,18,29,-0.78,251,13,9,19,-1.29,68,13,10,17,0.78,122,166,-0.62,436,25100,17,16,19,-0.89,6645,11,10,13,-0.55,42,57,1749:01:00,0.18,26,33,3022:01:00,0.62,7854,72,66,78,0.03,877,85,79,91,0.52,3498:1,571,75.7,69,83,-1.42,85,-0.83,9745,16415,59.4,55.5,63.2,-0.01,2921,35890,8.1,-0.11,2669,18,13,22,-0.67,218,19,12,28,-0.58,4978,15756,32,27,36,0.02,53,81,-1.04,10.8,-0.34,14,4230,0.16,7,9.5,-0.01,3547,5,0.18,39,35,-0.73
36055,New York,Monroe,6666,5787,5585,5989,-0.18,2477,16,14,18,0.36,2432,3.4,3,3.8,-0.31,2434,3.3,2.9,3.7,-0.19,,4974,60464,8.2,8,8.4,0.83,2467,19,17,22,-0.26,30,28,33,0.89,0,21,19,23,-1.51,2406,16,14,18,-0.48,358,7,6,8,-1.11,5744,772,2.3,5569,200184,28,27,29,0.42,62342,10,9,11,-1.24,741,100,1004:01:00,-1.33,538,70,1432:01:00,-0.93,31637,57,55,60,-1.01,2909,86,82,89,0.13,1688:1,1594,64.3,60,68,0.92,78,0.3,132273,185302,71.4,69.8,72.9,-1.44,27783,366795,7.6,-0.56,38478,24,21,26,0.34,2124,21,18,23,-0.08,63769,168010,38,37,39,0.85,2782,379,1.07,11.6,0.74,0,0,-0.8,88,11.8,-0.43,51563,7,0.88,518,48,0.87
36057,New York,Montgomery,587,6936,6111,7761,1.25,202,14,10,19,-0.22,196,3.7,2.2,5.1,0.11,199,3.2,1.9,4.5,-0.33,,319,4330,7.4,6.6,8.1,-0.06,202,31,22,42,1.97,30,24,37,0.89,0,29,23,36,1.28,200,17,11,27,-0.1,37,11,7,15,-0.03,112,223,-0.34,458,11662,39,36,43,1.85,5417,13,12,14,0.24,32,64,1570:01:00,-0.05,29,57,1764:01:00,-0.37,5998,72,66,79,0.03,518,85,77,93,0.43,3866:1,336,67.3,58,76,0.31,70,1.6,6437,12007,53.6,49.5,57.8,0.68,2327,23757,9.8,1.39,3305,29,23,36,1.31,171,24,16,34,0.75,4594,11601,40,35,45,1.06,112,239,0.08,10.4,-0.86,10,3375,-0.14,1,2,1.38,9344,19,4.78,38,47,0.74
36059,New York,Nassau,10196,4607,4471,4743,-1.64,2884,12,10,13,-0.87,2817,3,2.7,3.4,-0.88,2836,2.8,2.5,3.1,-0.89,,8386,105187,8,7.8,8.1,0.6,2872,13,12,15,-1.44,21,19,24,-2,0,23,21,25,-0.74,2787,16,14,18,-0.45,716,8,7,8,-0.88,2846,213,-0.39,3703,314937,12,11,12,-1.59,129594,12,11,12,-0.45,1987,148,674:01:00,-3.07,1415,104,963:01:00,-2.36,155039,60,59,61,-0.82,12596,85,83,86,0.46,824:1,9625,66.8,65,68,0.4,90,-1.61,234949,322633,72.8,71.7,74,-1.62,45676,681544,6.7,-1.35,28282,9,8,11,-2.04,2401,23,21,26,0.52,57898,310677,19,18,20,-1.68,2362,175,-0.37,11.3,0.4,12,168500,0.02,203,15.1,-1.04,5768,0,-1.29,1116,47,0.8
36061,New York,New York,12753,4896,4775,5017,-1.28,4790,16,15,18,0.64,4643,3.5,3.3,3.8,-0.17,4658,3.6,3.3,3.9,0.23,,12378,142998,8.7,8.5,8.8,1.38,4780,14,12,15,-1.33,15,14,17,-3.98,0,16,15,18,-3.04,4594,22,20,23,1.01,420,4,3,4,-2.01,11328,714,2.03,7445,285427,26,26,27,0.2,164516,12,12,13,-0.06,2083,131,762:01:00,-2.46,2415,146,685:01:00,-4.14,140201,54,53,55,-1.23,9972,80,78,82,2.27,324:1,9721,64.6,63,66,0.85,67,2.17,475356,581820,81.7,80.7,82.7,-2.68,68317,921593,7.4,-0.73,62217,27,23,30,0.87,3657,27,25,29,1.37,105907,236393,45,43,46,1.74,9330,577,2.47,11.5,0.61,0,0,-0.8,437,27.5,-3.31,0,0,-1.43,2376,36,-0.6
36063,New York,Niagara,2638,7228,6815,7640,1.61,785,14,12,18,0.02,766,4.1,3.4,4.9,0.67,772,4.1,3.3,4.9,0.93,,1228,15742,7.8,7.4,8.2,0.38,780,24,20,29,0.65,29,25,33,0.37,0,29,25,34,1.18,765,17,14,21,-0.15,149,10,8,11,-0.26,858,396,0.49,1477,54230,27,26,29,0.34,19991,11,10,12,-0.65,90,42,2406:01:00,0.73,111,50,1989:01:00,-0.1,15933,86,81,90,0.93,1765,87,82,91,-0.16,8328:1,1085,69,64,74,-0.06,84,-0.62,31993,51311,62.4,59.9,64.8,-0.36,9291,110239,8.4,0.15,8359,19,14,23,-0.49,656,17,13,21,-1.03,15907,46729,34,32,37,0.34,811,378,1.06,12,1.29,0,0,-0.8,21,9.7,-0.04,11412,5,0.33,137,44,0.33
36065,New York,Oneida,2661,6542,6170,6914,0.76,802,14,12,17,-0.04,781,4,3.2,4.8,0.53,779,4,3.1,4.9,0.79,,1494,18105,8.3,7.9,8.7,0.94,799,24,20,28,0.59,29,25,33,0.41,0,27,23,31,0.42,782,13,10,17,-1.18,142,9,7,10,-0.6,669,285,-0.05,1832,59345,31,30,32,0.8,19374,10,9,11,-1.05,173,74,1357:01:00,-0.41,125,50,1986:01:00,-0.1,26352,78,75,82,0.44,2690,86,82,89,0.04,3262:1,1630,75.2,71,79,-1.33,80,-0.08,33048,56525,58.5,56.3,60.7,0.1,8744,107753,8.1,-0.11,13122,27,23,30,0.84,682,20,17,24,-0.2,18654,50923,37,34,39,0.67,625,269,0.29,10.7,-0.47,3,5921,-0.59,28,11.9,-0.45,13165,6,0.44,132,38,-0.33
36067,New York,Onondaga,4451,5945,5693,6197,0.02,1455,13,11,15,-0.38,1417,3.3,2.8,3.7,-0.46,1439,3.4,2.9,4,-0.05,,3111,38298,8.1,7.8,8.4,0.72,1452,16,14,19,-0.84,29,25,32,0.31,0,22,19,25,-1.04,1413,18,15,21,-0.07,269,8,7,9,-0.7,2375,509,1.03,3608,128526,28,27,29,0.45,45647,12,11,13,-0.36,408,87,1145:01:00,-0.9,324,67,1494:01:00,-0.8,48586,63,60,65,-0.65,4525,90,87,93,-1.39,1645:1,3146,75.5,72,79,-1.39,79,0.19,78479,114686,68.4,,,-1.09,17474,227249,7.7,-0.47,23393,23,20,25,0.17,1234,22,19,26,0.35,39365,107029,37,35,38,0.69,1665,364,0.96,11,-0.09,0,0,-0.8,55,11.8,-0.42,25601,5,0.4,362,50,1.15
36069,New York,Ontario,1128,5719,5185,6253,-0.26,412,8,6,12,-1.86,405,2.9,2,3.7,-1.02,411,3.2,2.1,4.2,-0.33,,486,7610,6.4,5.8,6.9,-1.18,412,18,13,23,-0.61,27,22,32,-0.33,0,20,16,25,-1.77,401,17,13,23,-0.1,66,9,7,11,-0.52,224,208,-0.42,517,27142,19,17,21,-0.68,9448,11,9,12,-0.95,87,80,1242:01:00,-0.65,53,48,2102:01:00,0.01,7045,72,66,79,0.03,570,86,78,93,0.11,2456:1,371,70.6,62,79,-0.38,87,-1.21,17223,24444,70.5,66.7,74.2,-1.33,4050,56182,7.2,-0.91,3477,15,11,18,-1.12,363,19,14,25,-0.58,6718,24160,28,25,31,-0.48,125,118,-0.78,11.5,0.66,15,13977,0.25,15,13.9,-0.8,3129,3,-0.46,92,49,0.99
36071,New York,Orange,3310,5774,5507,6042,-0.19,923,17,13,21,0.7,899,3.3,2.7,3.9,-0.46,909,2.9,2.4,3.3,-0.75,,2649,37307,7.1,6.8,7.4,-0.4,924,21,17,26,0.11,26,23,30,-0.39,0,26,23,30,0.22,895,22,17,27,1.12,280,11,10,12,0.04,996,267,-0.13,2261,95586,24,23,25,-0.1,38369,12,11,13,-0.31,255,68,1464:01:00,-0.22,230,60,1677:01:00,-0.5,34530,73,70,76,0.08,4203,86,84,89,-0.09,2576:1,2656,65.6,63,69,0.65,84,-0.69,58677,95401,61.5,59.5,63.6,-0.26,13606,173955,7.8,-0.38,20809,21,18,24,-0.08,781,22,18,28,0.3,22887,101076,23,21,24,-1.15,991,266,0.27,11.2,0.2,41,126076,2.05,38,10.2,-0.12,16647,4,0.06,256,45,0.5
36073,New York,Orleans,477,6394,5534,7253,0.58,143,20,14,29,1.82,141,5.1,3.1,7.1,2.08,140,3.8,2.4,5.2,0.51,,226,3050,7.4,6.5,8.3,-0.06,142,29,21,39,1.58,30,24,37,0.73,0,28,22,35,0.95,139,14,8,23,-1.07,36,12,8,16,0.34,199,464,0.82,325,11294,29,26,32,0.54,4497,13,12,14,0.24,10,23,4286:01:00,1.38,7,15,6492:01:00,1.37,2456,104,91,117,2.18,324,83,73,93,1.27,10715:1,196,55.6,45,66,2.71,84,-0.72,5370,10628,50.5,45.9,55.2,1.05,1747,19056,9.2,0.86,1871,21,15,26,-0.15,126,24,17,33,0.7,3526,9483,37,31,43,0.75,73,176,-0.36,11.8,0.96,0,0,-0.8,3,7,0.46,2571,6,0.57,15,47,0.73
36075,New York,Oswego,1316,6209,5718,6700,0.35,429,17,13,22,0.95,420,3.8,2.8,4.7,0.25,423,3.2,2.4,3.9,-0.33,,672,9585,7,6.5,7.5,-0.51,432,32,26,38,2.11,34,29,40,2.13,0,27,22,32,0.42,422,25,19,31,1.88,110,13,10,15,0.62,184,151,-0.69,1051,37770,28,26,30,0.42,11872,12,10,13,-0.45,46,38,2655:01:00,0.87,45,35,2824:01:00,0.53,10947,87,82,93,1.04,1349,85,80,90,0.29,6429:1,833,66.7,61,72,0.42,77,0.45,15377,29086,52.9,49.9,55.8,0.77,5909,57464,10.3,1.84,7070,26,21,31,0.79,379,16,12,21,-1.33,9127,28230,32,28,36,0.11,183,151,-0.54,10.9,-0.14,4,2764,-0.55,9,7.4,0.39,3066,3,-0.59,65,43,0.29
36077,New York,Otsego,642,5703,4997,6408,-0.28,283,14,9,20,-0.19,276,4.7,2.8,6.6,1.52,279,4.3,3,5.6,1.21,,259,3736,6.9,6.1,7.7,-0.62,283,21,16,28,0.11,28,23,34,0.28,0,25,19,31,-0.18,276,18,12,26,0.09,52,12,9,16,0.33,160,257,-0.18,251,23410,11,9,12,-1.72,6158,13,12,14,0.24,66,106,942:01:00,-1.57,30,44,2251:01:00,0.15,8078,77,71,83,0.36,702,85,78,92,0.34,2705:1,593,73,66,80,-0.88,78,0.39,7429,12412,59.9,55.7,64,-0.06,2392,31269,7.6,-0.56,2431,23,17,28,0.17,248,18,13,24,-0.8,3449,11509,30,25,35,-0.2,117,189,-0.28,10.6,-0.57,0,76,-0.78,6,9.6,-0.03,5984,10,1.78,36,32,-1.07
36079,New York,Putnam,783,4491,3996,4986,-1.78,286,7,5,10,-2.36,281,2.6,1.9,3.4,-1.44,278,2.2,1.6,2.9,-1.72,,549,7123,7.7,7.1,8.3,0.27,286,11,8,16,-1.81,29,23,34,0.37,0,23,18,29,-0.78,280,22,14,31,1.01,58,8,6,11,-0.7,105,105,-0.91,130,22817,6,5,7,-2.34,8472,10,9,11,-1.29,57,57,1749:01:00,0.18,52,51,1967:01:00,-0.12,10787,62,57,67,-0.7,1089,84,79,90,0.64,1634:1,880,67,62,72,0.35,90,-1.68,17814,25057,71.1,67,75.1,-1.41,3545,54048,6.6,-1.44,1474,7,5,8,-2.51,238,20,14,27,-0.3,3545,23823,15,12,18,-2.17,78,79,-1.05,10.9,-0.14,0,0,-0.8,19,19.1,-1.76,5414,5,0.38,71,44,0.42
36081,New York,Queens,17170,4822,4721,4922,-1.37,3826,18,16,19,1.08,3694,3.2,2.9,3.4,-0.6,3720,3.3,3,3.6,-0.19,,17916,214934,8.3,8.2,8.5,0.94,3820,14,13,16,-1.25,22,20,24,-1.64,0,28,26,30,0.95,3639,14,12,15,-1.1,780,5,5,5,-1.64,11667,523,1.1,11338,466355,24,24,25,-0.02,401948,21,20,22,4.03,1477,66,1512:01:00,-0.14,1520,67,1488:01:00,-0.82,151656,62,61,64,-0.66,15475,85,83,86,0.48,2757:1,9118,57.3,56,59,2.36,70,1.61,419359,688022,61,60.2,61.7,-0.2,90174,1118132,8.1,-0.11,99533,22,19,24,0.05,2892,32,30,35,2.77,150454,457027,33,32,34,0.19,13055,568,2.41,11.5,0.58,,,0,125,5.6,0.72,782,0,-1.42,1668,51,1.3
36083,New York,Rensselaer,1654,5984,5562,6407,0.07,547,16,12,22,0.64,538,3.8,2.9,4.6,0.25,544,4.2,3.2,5.1,1.07,,899,12318,7.3,6.8,7.8,-0.18,547,22,18,27,0.22,29,24,34,0.5,0,24,20,28,-0.51,528,22,16,29,1.12,103,9,8,11,-0.41,510,320,0.12,1030,38915,26,25,28,0.25,14327,11,10,12,-0.85,83,52,1921:01:00,0.36,67,41,2463:01:00,0.31,13067,71,66,75,-0.09,1350,83,78,88,1.21,4429:1,922,68.9,64,74,-0.02,83,-0.47,26663,40290,66.2,63.1,69.2,-0.82,6138,81504,7.5,-0.64,6171,19,15,22,-0.47,467,21,17,27,0.07,12041,33858,36,32,39,0.53,538,343,0.82,10.1,-1.25,9,9163,-0.21,8,5,0.82,8601,5,0.37,106,50,1.15
36085,New York,Richmond,4505,5746,5510,5983,-0.23,1023,13,10,15,-0.56,1001,3.1,2.6,3.6,-0.74,1001,3.6,3,4.2,0.23,,3339,40641,8.2,7.9,8.5,0.83,1019,19,16,23,-0.28,28,24,32,0.05,0,29,25,33,1.25,980,18,14,22,-0.04,201,6,5,7,-1.31,1390,297,0.01,2218,110840,20,19,21,-0.56,39453,10,9,11,-1.39,434,92,1081:01:00,-1.08,300,63,1590:01:00,-0.63,31713,60,57,63,-0.84,3550,85,82,88,0.54,2278:1,2458,62.6,59,66,1.27,74,0.93,80882,126623,63.9,62,65.7,-0.55,19740,241002,8.2,-0.02,19764,19,15,22,-0.5,788,24,20,28,0.62,27991,108745,26,24,28,-0.75,2722,553,2.3,11.8,0.99,,,0,35,7.5,0.37,5810,1,-1.02,278,50,1.16
36087,New York,Rockland,2278,4329,4076,4582,-1.98,675,12,8,16,-0.84,661,2.8,2.2,3.3,-1.16,662,2.9,2,3.8,-0.75,,2278,33885,6.7,6.5,7,-0.84,674,10,7,13,-2.12,26,22,30,-0.62,0,25,21,29,-0.15,649,11,8,16,-1.73,140,7,6,8,-1.2,592,190,-0.5,1326,77208,17,16,18,-0.91,32426,12,11,13,-0.16,300,96,1041:01:00,-1.21,289,90,1106:01:00,-1.79,33827,54,52,57,-1.21,3594,88,85,91,-0.64,1031:1,2555,67.9,65,71,0.18,88,-1.28,49072,73486,66.8,64.4,69.2,-0.89,10136,155845,6.5,-1.53,20325,23,20,27,0.32,563,21,17,27,0.1,14568,86064,17,15,19,-1.9,488,161,-0.47,11.3,0.29,0,545,-0.79,44,14.1,-0.84,15349,5,0.21,227,44,0.34
36089,New York,St. Lawrence,1297,6678,6144,7212,0.93,481,17,14,21,0.86,474,4.8,3.8,5.7,1.66,472,4.5,3.3,5.7,1.49,,640,8380,7.6,7.1,8.2,0.16,482,27,21,33,1.17,32,27,37,1.43,0,31,27,36,1.92,469,20,15,26,0.61,88,11,9,14,0.16,234,209,-0.41,792,34900,23,21,24,-0.22,13454,16,14,17,1.52,59,53,1896:01:00,0.34,42,34,2920:01:00,0.58,12811,93,87,98,1.41,1682,90,85,94,-1.45,3291:1,939,74.7,69,80,-1.21,77,0.5,14026,25655,54.7,51.6,57.7,0.56,5042,48487,10.4,1.93,5707,25,20,30,0.59,417,23,17,30,0.45,8502,23469,36,32,40,0.62,184,172,-0.39,10.1,-1.21,11,6632,-0.08,3,2.7,1.25,6861,6,0.62,55,36,-0.57
36091,New York,Saratoga,1912,4858,4526,5190,-1.33,762,12,10,16,-0.6,745,3.1,2.5,3.7,-0.74,752,2.6,1.9,3.3,-1.17,,1081,16242,6.7,6.3,7,-0.84,759,17,14,21,-0.71,26,22,31,-0.39,0,24,20,28,-0.48,740,19,16,24,0.44,132,9,7,10,-0.57,327,149,-0.7,775,49921,16,14,17,-1.12,17080,9,8,10,-1.64,160,73,1374:01:00,-0.38,127,57,1763:01:00,-0.37,19169,61,58,65,-0.74,1882,88,83,92,-0.58,1692:1,1424,70.2,66,75,-0.3,88,-1.25,41419,57424,72.1,69.5,74.8,-1.53,7592,115570,6.6,-1.44,4322,9,7,11,-2.09,655,15,12,18,-1.6,10848,49488,22,20,24,-1.25,156,72,-1.11,10.2,-1.18,11,18863,-0.05,39,17.7,-1.51,8515,4,-0.14,152,43,0.3
36093,New York,Schenectady,1518,5907,5479,6335,-0.03,514,14,11,19,0.02,510,3.6,2.6,4.6,-0.03,507,2.6,1.9,3.3,-1.17,,1109,12962,8.6,8.1,9,1.27,514,21,16,26,-0.03,28,23,33,0.15,0,25,21,30,-0.11,501,14,10,19,-0.99,62,6,4,7,-1.42,656,424,0.63,1021,36767,28,26,30,0.41,15217,12,10,13,-0.36,119,77,1301:01:00,-0.52,103,65,1547:01:00,-0.71,14980,53,50,57,-1.3,1157,88,82,93,-0.58,1961:1,914,71,66,76,-0.46,76,0.67,25208,38754,65,62.1,68,-0.69,5553,74090,7.5,-0.64,8028,23,19,27,0.32,447,14,10,18,-1.85,12393,35246,35,32,39,0.48,713,467,1.69,10.3,-1,0,0,-0.8,17,11,-0.27,14862,10,1.78,117,55,1.71
36095,New York,Schoharie,330,5430,4465,6394,-0.62,154,12,7,19,-0.84,151,3.3,1.6,4.9,-0.46,151,2.9,1.6,4.1,-0.75,,143,2037,7,5.9,8.1,-0.51,,,,,0,28,22,34,0.12,0,28,21,35,0.85,151,15,9,26,-0.67,22,10,6,15,-0.32,44,134,-0.77,164,10196,16,14,19,-1.05,3133,12,11,14,-0.21,8,24,4086:01:00,1.34,9,26,3805:01:00,0.91,4162,77,69,86,0.36,451,88,80,97,-0.9,8173:1,292,69.5,60,79,-0.16,80,0.04,4079,7307,55.8,50.2,61.4,0.42,1442,15402,9.4,1.04,1170,19,13,24,-0.47,129,21,13,32,0,1992,6493,31,24,37,-0.1,22,68,-1.13,10.4,-0.81,18,2159,0.47,1,3.1,1.18,961,3,-0.45,11,26,-1.85
36097,New York,Schuyler,227,6025,4749,7300,0.12,92,16,9,28,0.64,,,,,0,90,4,1.7,6.4,0.79,,76,1161,6.5,5.1,8,-1.07,,,,,0,28,21,35,0.05,0,30,23,38,1.58,,,,,0,,,,,0,21,115,-0.87,127,4362,29,24,34,0.58,1912,13,11,14,0.14,11,60,1667:01:00,0.08,4,21,4673:01:00,1.12,2436,103,90,116,2.13,313,84,74,95,0.66,4584:1,182,69.2,57,81,-0.1,73,1.09,2365,4192,56.4,49.8,63,0.35,779,9982,7.8,-0.38,841,23,17,29,0.25,84,17,10,28,-1,809,3757,22,16,27,-1.3,14,77,-1.07,11.4,0.5,0,0,-0.8,1,5.5,0.74,380,2,-0.74,8,28,-1.67
36099,New York,Seneca,361,5681,4788,6574,-0.31,,,,,0,122,4.8,3.2,6.5,1.66,126,4.7,2.3,7.2,1.77,,150,2543,5.9,5,6.8,-1.73,128,25,16,36,0.83,31,25,38,1.14,0,32,25,40,2.21,125,12,7,21,-1.59,34,14,10,19,0.89,77,218,-0.37,214,7924,27,23,31,0.32,3660,13,12,15,0.43,8,23,4400:01:00,1.41,7,18,5430:01:00,1.24,2765,67,58,76,-0.35,267,90,79,100,-1.43,35206:1,150,72.7,59,86,-0.8,79,0.14,4642,8805,52.7,48.5,57,0.79,1291,16799,7.7,-0.47,1474,21,16,26,-0.12,,,,,0,2493,7503,33,28,39,0.23,48,142,-0.61,11.3,0.33,5,1200,-0.47,0,0,1.74,558,2,-0.9,21,43,0.23
