FIPS,State,County,Deaths,YPLL Rate,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,LBW Births,Live Births,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,Sample Size,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Driving Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,Z-Score,Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Births ,Teen Population,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# PCP,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% HbA1c,95% CI - Low,95% CI - High,Z-Score,Mental Health Provider Ratio,# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,AFGR,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,# Children in Poverty,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,Annual Violent Crimes,Violent Crime Rate,Z-Score,Average daily PM25,Z-Score,% pop in viol,Pop. In Viol,Z-Score,# Rec Facilities,Rec Facility Rate,Z-Score,# Limited Access,% Limited Access,Z-Score,# Fast Foods,% Fast Foods,Z-Score
36019,New York,Clinton,818,5988,5373,6602,0.07,314,14,10,19,-0.01,311,3.4,2.5,4.2,-0.31,308,3.6,1.9,5.3,0.23,,401,5552,7.2,6.5,7.9,-0.29,313,18,13,26,-0.45,29,24,35,0.5,0,24,19,30,-0.38,309,25,19,32,2.02,70,12,9,15,0.42,188,229,-0.32,502,23839,21,19,23,-0.43,7271,11,10,13,-0.6,54,66,1521:01:00,-0.13,39,44,2289:01:00,0.18,8893,91,85,98,1.33,1228,86,81,92,-0.09,3042:1,666,73.1,67,80,-0.9,82,-0.27,10906,21737,50.2,46.6,53.7,1.09,3754,38057,9.9,1.48,3012,20,15,24,-0.27,276,19,13,28,-0.53,4888,15546,31,27,36,0,121,148,-0.57,9.7,-1.75,47,27746,2.45,3,3.7,1.07,6442,8,1.19,39,36,-0.57
36021,New York,Columbia,774,6493,5721,7265,0.7,292,14,9,20,-0.19,286,3.5,2.4,4.7,-0.17,282,4,2.8,5.2,0.79,,313,4087,7.7,6.8,8.5,0.27,291,14,10,19,-1.31,26,21,31,-0.59,0,22,18,28,-1.04,282,21,15,28,0.85,58,13,10,17,0.69,125,198,-0.46,343,14300,24,21,27,-0.06,6714,13,12,15,0.38,31,49,2032:01:00,0.46,23,35,2832:01:00,0.53,8005,59,54,64,-0.88,768,81,74,87,1.97,1703:1,583,70,63,77,-0.25,77,0.49,8434,13784,61.2,56.6,65.8,-0.22,2241,30334,7.4,-0.73,1993,17,12,21,-0.8,250,19,14,26,-0.5,3748,12480,30,25,35,-0.19,109,175,-0.38,10.3,-1.04,1,192,-0.75,7,11.1,-0.3,2927,5,0.12,36,35,-0.75
36023,New York,Cortland,501,5957,5185,6730,0.03,170,15,9,24,0.33,166,3.3,2,4.5,-0.46,169,3.6,2.3,5,0.23,,310,3710,8.4,7.5,9.2,1.05,172,21,15,30,0.15,27,21,33,-0.2,0,27,21,34,0.59,170,12,7,19,-1.54,32,9,6,13,-0.43,190,385,0.44,330,18335,18,16,20,-0.81,4501,11,10,13,-0.55,29,59,1700:01:00,0.12,19,36,2783:01:00,0.5,4952,105,96,114,2.26,567,85,78,93,0.34,3794:1,366,75.4,67,84,-1.37,79,0.09,6527,11019,59.2,54.8,63.7,0.01,2023,24064,8.4,0.15,2215,22,17,28,0.13,147,20,13,30,-0.3,3385,10262,33,28,38,0.2,94,194,-0.24,11,-0.11,0,0,-0.8,5,10.1,-0.12,1246,3,-0.59,31,42,0.11
36025,New York,Delaware,619,6335,5487,7183,0.5,234,12,8,17,-0.84,228,3.2,2.2,4.3,-0.6,222,2.3,1.5,3.1,-1.58,,237,3151,7.5,6.6,8.4,0.05,230,19,13,26,-0.34,28,22,34,0.09,0,28,22,34,0.85,232,12,8,18,-1.51,60,18,14,23,2.05,66,138,-0.76,273,12657,22,19,24,-0.36,4914,13,12,15,0.38,26,54,1840:01:00,0.28,15,30,3351:01:00,0.76,5946,95,87,103,1.57,604,82,74,89,1.68,6834:1,405,66.9,59,75,0.38,86,-0.97,5081,9716,52.3,47.7,56.9,0.84,1856,21469,8.6,0.33,2395,27,21,33,0.87,196,23,16,33,0.6,3038,9425,32,27,37,0.1,69,149,-0.56,10.7,-0.45,4,1000,-0.51,2,4.2,0.98,440,1,-1.12,29,36,-0.65
36027,New York,Dutchess,2681,5266,4967,5565,-0.82,868,11,9,14,-0.97,849,3.1,2.6,3.7,-0.74,855,3.1,2.6,3.6,-0.47,,1490,21273,7,6.7,7.3,-0.51,867,15,12,18,-1.17,28,24,32,0.09,0,23,19,27,-0.78,846,18,14,21,-0.07,193,9,8,11,-0.4,764,257,-0.18,1134,82212,14,13,15,-1.33,26251,11,10,12,-0.8,213,72,1397:01:00,-0.33,190,60,1672:01:00,-0.5,33527,64,61,67,-0.54,3613,83,80,86,1.1,1466:1,2478,71.6,68,75,-0.59,80,-0.04,47259,72801,64.9,62.6,67.3,-0.67,10795,145180,7.4,-0.73,7308,12,9,14,-1.67,737,20,16,25,-0.18,16574,66098,25,23,27,-0.83,832,295,0.47,10.6,-0.55,1,2109,-0.72,31,10.4,-0.17,17431,6,0.53,201,38,-0.37
36029,New York,Erie,10576,7006,6807,7206,1.34,3002,14,12,15,-0.19,2938,3.9,3.5,4.3,0.39,2950,3.4,3,3.8,-0.05,,5673,69297,8.2,8,8.4,0.83,2994,17,15,19,-0.69,29,26,31,0.34,0,26,24,29,0.25,2919,18,16,21,0.17,433,7,6,7,-1.17,5080,553,1.25,6118,229986,27,26,27,0.27,75216,10,9,11,-1.24,722,79,1272:01:00,-0.59,669,71,1415:01:00,-0.96,57122,53,51,55,-1.32,5074,85,82,87,0.59,2251:1,3474,66.1,63,69,0.56,80,0.01,156388,223476,70,68.7,71.3,-1.28,36191,460282,7.9,-0.29,43707,23,20,25,0.18,2547,19,17,21,-0.45,72223,199238,36,35,37,0.62,4724,519,2.06,12.4,1.84,0,1681,-0.79,103,11.2,-0.31,54114,6,0.54,729,50,1.11
36031,New York,Essex,428,5401,4567,6235,-0.65,193,10,7,16,-1.28,190,2.7,1.7,3.8,-1.3,192,3.2,1.9,4.4,-0.33,,200,2559,7.8,6.8,8.9,0.38,192,15,10,22,-1.15,28,22,34,0.05,0,23,18,29,-0.71,186,19,13,28,0.42,37,13,9,18,0.79,48,122,-0.83,172,8823,19,17,22,-0.62,4075,14,12,15,0.48,13,33,3024:01:00,1.04,11,26,3814:01:00,0.91,5869,67,61,74,-0.31,701,88,81,95,-0.83,3276:1,442,70.8,63,79,-0.42,86,-0.98,5165,9654,53.5,47.8,59.2,0.7,1631,17672,9.2,0.86,1554,22,17,26,0.02,165,16,10,24,-1.33,2186,7497,29,23,35,-0.3,52,139,-0.63,9.9,-1.51,28,9851,1.1,6,15.3,-1.06,785,2,-0.76,23,23,-2.27
36033,New York,Franklin,575,6243,5494,6992,0.39,191,15,11,21,0.33,187,3.5,2.4,4.7,-0.17,189,2.9,1.8,4,-0.75,,266,3631,7.3,6.5,8.2,-0.18,191,19,13,27,-0.4,28,23,35,0.28,0,26,20,32,0.12,185,22,15,32,1.12,53,15,11,19,1.15,75,145,-0.72,381,12090,32,28,35,0.88,6243,16,14,18,1.77,37,72,1394:01:00,-0.34,18,31,3222:01:00,0.71,5896,78,71,85,0.39,807,85,79,91,0.36,4691:1,416,73.3,65,82,-0.94,79,0.15,6930,14315,48.4,44.4,52.4,1.3,2022,22340,9.1,0.77,3034,29,24,35,1.32,168,21,14,29,-0.13,3726,10496,35,29,42,0.53,69,137,-0.64,9.9,-1.52,41,12440,2.05,4,7.8,0.32,3452,7,0.8,24,39,-0.29
36035,New York,Fulton,656,6107,5409,6805,0.22,212,17,12,24,0.8,206,5.8,3.6,7.9,3.07,208,4.5,3,6.1,1.49,,308,3952,7.8,7,8.6,0.38,211,26,19,34,1.02,29,23,35,0.37,0,27,21,33,0.52,206,22,15,31,1.23,53,14,10,18,0.86,123,222,-0.35,414,13321,31,28,34,0.82,5906,13,11,14,0.19,28,50,1981:01:00,0.42,15,26,3796:01:00,0.91,4879,87,79,95,1.03,506,87,79,95,-0.4,6163:1,335,69.9,61,79,-0.22,71,1.4,6808,13658,49.8,45.7,54,1.13,2678,26777,10,1.57,2949,25,20,31,0.64,174,19,13,28,-0.43,5742,12161,47,41,54,2.06,111,202,-0.19,10.4,-0.92,3,1000,-0.6,5,9,0.09,1775,3,-0.36,35,39,-0.26
36037,New York,Genesee,663,6198,5481,6914,0.33,219,13,10,18,-0.32,218,4.3,3,5.7,0.95,218,4.2,2.6,5.9,1.07,,296,4602,6.4,5.7,7.1,-1.18,219,22,16,30,0.32,28,23,34,0.21,0,25,19,31,-0.25,210,16,10,23,-0.53,57,14,10,18,0.83,127,211,-0.4,367,15695,23,21,26,-0.14,5614,11,10,13,-0.55,20,33,3004:01:00,1.03,22,35,2817:01:00,0.52,3813,83,74,91,0.72,416,85,76,94,0.28,4621:1,201,61.2,50,72,1.56,83,-0.55,8771,14509,60.5,56.5,64.4,-0.14,2408,32015,7.5,-0.64,2311,18,14,22,-0.57,196,21,15,29,0.1,3970,13298,30,25,35,-0.21,104,178,-0.35,11.9,1.15,0,0,-0.8,6,10,-0.09,946,2,-0.9,31,40,-0.16
