Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2014,36001.0,Albany,2886.0,13.0,8.3,8.0,92.0,22962.0,0.0022522522522522522
2014,36003.0,Allegany,486.0,16.0,7.0,9.0,23.0,4073.0,0.0012091898428053204
2014,36005.0,Bronx,14316.0,24.0,9.9,7.0,252.0,200788.0,0.0011750881316098707
2014,36007.0,Broome,2125.0,13.0,8.0,8.0,56.0,18647.0,0.0015313935681470138
2014,36009.0,Cattaraugus,1035.0,18.0,7.2,9.0,49.0,8683.0,0.0007911392405063291
2014,36011.0,Cayuga,780.0,11.0,6.8,9.0,52.0,7380.0,0.001182033096926714
2014,36013.0,Chautauqua,1515.0,16.0,8.0,9.0,78.0,11040.0,0.000942507068803016
2014,36015.0,Chemung,1038.0,19.0,8.5,8.0,43.0,6736.0,0.0018656716417910447
2014,36017.0,Chenango,618.0,10.0,7.0,9.0,41.0,5078.0,0.0014204545454545455
2014,36019.0,Clinton,818.0,15.0,7.6,8.0,48.0,6932.0,0.0012642225031605564
2014,36021.0,Columbia,774.0,13.0,7.5,9.0,37.0,5912.0,0.0011904761904761906
2014,36023.0,Cortland,501.0,17.0,8.1,9.0,14.0,4014.0,0.001692047377326565
2014,36025.0,Delaware,619.0,12.0,7.2,9.0,41.0,4633.0,0.0008058017727639
2014,36027.0,Dutchess,2681.0,12.0,7.2,9.0,100.0,25275.0,0.0019267822736030828
2014,36029.0,Erie,10576.0,13.0,8.2,8.0,285.0,73146.0,0.001597444089456869
2014,36031.0,Essex,428.0,8.0,7.9,9.0,28.0,3576.0,0.0012285012285012285
2014,36033.0,Franklin,575.0,15.0,7.9,8.0,38.0,5478.0,0.0014727540500736377
2014,36035.0,Fulton,656.0,18.0,7.8,8.0,28.0,5213.0,0.0008703220191470844
2014,36037.0,Genesee,663.0,12.0,6.3,9.0,48.0,5772.0,0.000968054211035818
2014,36039.0,Greene,676.0,11.0,9.7,9.0,44.0,4370.0,0.0006527415143603133
2014,36043.0,Herkimer,718.0,14.0,7.0,9.0,42.0,5937.0,0.0004246284501061571
2014,36045.0,Jefferson,1043.0,14.0,6.8,8.0,74.0,10922.0,0.0009643201542912247
2014,36047.0,Kings,22670.0,18.0,8.5,7.0,397.0,350327.0,0.0013605442176870747
2014,36049.0,Lewis,263.0,17.0,6.1,9.0,20.0,2934.0,0.001851851851851852
2014,36051.0,Livingston,602.0,10.0,6.2,8.0,52.0,4722.0,0.0005524861878453039
2014,36053.0,Madison,665.0,15.0,6.7,9.0,43.0,5666.0,0.001128668171557562
2014,36055.0,Monroe,6666.0,17.0,8.3,8.0,190.0,62687.0,0.0016556291390728477
2014,36057.0,Montgomery,587.0,12.0,7.0,7.0,26.0,4455.0,0.0007267441860465116
2014,36059.0,Nassau,10196.0,11.0,8.0,10.0,469.0,112045.0,0.002304147465437788
2014,36061.0,New York,12753.0,16.0,8.7,8.0,240.0,164518.0,0.005917159763313609
2014,36063.0,Niagara,2638.0,14.0,7.9,8.0,86.0,19201.0,0.0006839945280437756
2014,36065.0,Oneida,2661.0,14.0,8.1,8.0,87.0,20465.0,0.001148105625717566
2014,36067.0,Onondaga,4451.0,13.0,8.1,8.0,160.0,41865.0,0.001524390243902439
2014,36069.0,Ontario,1128.0,8.0,6.6,9.0,62.0,8440.0,0.001199040767386091
2014,36071.0,Orange,3310.0,17.0,7.2,9.0,196.0,37563.0,0.0013774104683195593
2014,36073.0,Orleans,477.0,19.0,7.5,9.0,25.0,4045.0,0.0003711952487008166
2014,36075.0,Oswego,1316.0,16.0,6.9,9.0,75.0,11172.0,0.0007818608287724785
2014,36077.0,Otsego,642.0,14.0,6.9,8.0,22.0,5211.0,0.0012062726176115801
2014,36079.0,Putnam,783.0,6.0,7.7,9.0,47.0,7778.0,0.002150537634408602
2014,36081.0,Queens,17170.0,18.0,8.3,8.0,389.0,398418.0,0.0011013215859030838
2014,36083.0,Rensselaer,1654.0,17.0,7.4,9.0,62.0,12977.0,0.0009832841691248771
