Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2013,36001,Albany,2886,13.0,8.1,0,148.0,25221,0.000998003992015968
2013,36003,Allegany,486,14.0,7.1,0,55.0,4526,0.00024515812699190976
2013,36005,Bronx,14316,24.0,10.0,0,425.0,205992,0.00026602819898909286
2013,36007,Broome,2125,14.0,7.9,0,109.0,18901,0.0005192107995846313
2013,36009,Cattaraugus,1035,20.0,7.1,0,84.0,9323,0.00027419797093501506
2013,36011,Cayuga,780,15.0,7.1,0,70.0,8263,8.750437521876094e-05
2013,36013,Chautauqua,1515,16.0,7.8,0,113.0,13103,0.0001483679525222552
2013,36015,Chemung,1038,22.0,8.6,0,51.0,7539,0.00028145229383619476
2013,36017,Chenango,618,12.0,6.7,0,51.0,5020,9.921619208254787e-05
2013,36019,Clinton,818,14.0,7.2,0,70.0,7271,0.0003287310979618672
2013,36021,Columbia,774,14.0,7.7,0,58.0,6714,0.0005871990604815032
2013,36023,Cortland,501,15.0,8.4,0,32.0,4501,0.0002635740643120717
2013,36025,Delaware,619,12.0,7.5,0,60.0,4914,0.0001463271875914545
2013,36027,Dutchess,2681,11.0,7.0,0,193.0,26251,0.0006821282401091405
2013,36029,Erie,10576,14.0,8.2,0,433.0,75216,0.000444247001332741
2013,36031,Essex,428,10.0,7.8,0,37.0,4075,0.00030525030525030525
2013,36033,Franklin,575,15.0,7.3,0,53.0,6243,0.00021317416329140907
2013,36035,Fulton,656,17.0,7.8,0,53.0,5906,0.00016225864027259452
2013,36037,Genesee,663,13.0,6.4,0,57.0,5614,0.00021640337589266391
2013,36039,Greene,676,9.0,9.6,0,52.0,4892,0.00012205541315757354
2013,36043,Herkimer,718,12.0,6.9,0,57.0,6674,4.65267761596799e-05
2013,36045,Jefferson,1043,14.0,6.9,0,87.0,13077,0.00021427040925648167
2013,36047,Kings,22670,20.0,8.6,0,840.0,358056,0.00042069835927639884
2013,36049,Lewis,263,15.0,6.3,0,35.0,3048,0.00014760147601476016
2013,36051,Livingston,602,10.0,6.1,0,53.0,5353,0.00015304560759106213
2013,36053,Madison,665,14.0,6.7,0,68.0,6645,0.0002858776443682104
2013,36055,Monroe,6666,16.0,8.2,0,358.0,62342,0.0005924170616113745
2013,36057,Montgomery,587,14.0,7.4,0,37.0,5417,0.0002586652871184687
2013,36059,Nassau,10196,12.0,8.0,0,716.0,129594,0.0012135922330097086
2013,36061,New York,12753,16.0,8.7,0,420.0,164516,0.0030864197530864196
2013,36063,Niagara,2638,14.0,7.8,0,149.0,19991,0.00012007684918347742
2013,36065,Oneida,2661,14.0,8.3,0,142.0,19374,0.00030656039239730225
2013,36067,Onondaga,4451,13.0,8.1,0,269.0,45647,0.0006079027355623101
2013,36069,Ontario,1128,8.0,6.4,0,66.0,9448,0.00040716612377850165
2013,36071,Orange,3310,17.0,7.1,0,280.0,38369,0.00038819875776397513
2013,36073,Orleans,477,20.0,7.4,0,36.0,4497,9.332711152589827e-05
2013,36075,Oswego,1316,17.0,7.0,0,110.0,11872,0.00015554518587649713
2013,36077,Otsego,642,14.0,6.9,0,52.0,6158,0.0003696857670979667
2013,36079,Putnam,783,7.0,7.7,0,58.0,8472,0.0006119951040391676
2013,36081,Queens,17170,18.0,8.3,0,780.0,401948,0.0003627130939426913
2013,36083,Rensselaer,1654,16.0,7.3,0,103.0,14327,0.00022578460149017836
2013,36085,Richmond,4505,13.0,8.2,0,201.0,39453,0.0004389815627743635
2013,36087,Rockland,2278,12.0,6.7,0,140.0,32426,0.0009699321047526673
2013,36089,St. Lawrence,1297,17.0,7.6,0,88.0,13454,0.00030385900941962927
2013,36091,Saratoga,1912,12.0,6.7,0,132.0,17080,0.000591016548463357
2013,36093,Schenectady,1518,14.0,8.6,0,62.0,15217,0.0005099439061703213
2013,36095,Schoharie,330,12.0,7.0,0,22.0,3133,0.0001223540927444023
2013,36101,Steuben,1135,16.0,7.1,0,95.0,10579,0.00026281208935611036
2013,36103,Suffolk,13150,12.0,7.6,0,1109.0,150410,0.0007457121551081282
2013,36105,Sullivan,1043,15.0,8.8,0,88.0,10061,0.00023239600278875203
2013,36107,Tioga,494,14.0,7.5,0,38.0,4716,0.00015659254619480113
2013,36109,Tompkins,643,12.0,6.8,0,50.0,9233,0.0007974481658692185
2013,36111,Ulster,1933,11.0,7.6,0,159.0,19515,0.0008116883116883117
2013,36113,Warren,673,13.0,7.1,0,49.0,6469,0.000578368999421631
2013,36115,Washington,699,17.0,7.8,0,66.0,6830,9.47597839476926e-05
2013,36117,Wayne,1012,19.0,6.9,0,79.0,9121,6.397952655150352e-05
2013,36119,Westchester,6886,11.0,8.4,0,340.0,100338,0.0017452006980802793
2013,36121,Wyoming,421,15.0,5.4,0,41.0,3925,2.3731548720869524e-05
