,Principal Component 1,Principal Component 2,class
0,1.3184872668115726,-1.8445509829355609,2
1,-0.40679071218785756,0.4369118041744497,0
2,5.443372910432647,3.5363235846347076,0
3,0.7863443011616525,0.014207622845946873,0
4,0.04518702356887941,2.370859683680689,0
5,-0.89377953235302,0.01262212305164588,1
6,0.24498562324438286,1.2900672932940338,0
7,0.678350292605147,0.8311417365405211,0
8,-1.5043830370882652,0.9143428351627131,1
9,0.2533177954827997,0.1642993491408631,0
10,-1.2179467131183126,0.49800552985896895,1
11,0.4003943099855516,-0.1963631357758657,0
12,-2.0492053922241644,1.8949230687065612,1
13,0.1497423238526028,-1.5109759870894854,2
14,1.2540153587523566,-0.557024120728086,2
15,-1.0388267616886262,-0.06177887600597925,1
16,0.7289179604107104,1.7033602860613946,0
17,0.01081166232356901,1.5626035754385528,0
18,-1.961091035387595,0.25896258379107473,1
19,-1.242584090134291,1.6631324257731424,1
20,-2.924436635402752,-1.119884560763613,1
21,-1.07321574906401,1.0636438225920146,1
22,0.15517375083908924,0.091150405928813,0
23,3.590367154768698,0.9471590281058456,0
24,-0.9583562796854553,0.7682840083779294,1
25,-1.4857812610433871,-0.5666681776415042,1
26,-1.079859433673855,-0.5226588885165073,1
27,1.5361005734063224,-0.8482772190849857,2
28,0.166828316237784,1.454199281308883,0
29,0.528861404507616,-2.661097859948365,2
30,4.026949918280238,-2.8322747297968225,2
31,-0.09070553695390013,0.8039324247284001,0
32,0.6143856145049958,0.4230124110684471,0
33,1.008575136848969,-0.7922024472175945,2
34,-1.4213948147463553,-1.5169639867987275,1
35,0.39517587391016373,-0.6477988117725987,2
36,1.0375932575721363,0.37378726241369853,0
37,-0.9714884880068425,1.4683919403558994,0
38,-0.22505554739752712,0.20499514120069637,0
39,-0.22925529314118803,-2.747215429570985,2
40,3.5990322768096927,1.3007222863417187,0
41,0.17457217787848442,-0.48888029085435575,2
42,1.156311436401533,-1.2862619478829977,2
43,0.5421551337874425,-2.0845916733954324,2
44,-1.0723955708344315,-2.347290510526125,2
45,1.2815210403366666,-0.7326709772021006,2
46,-0.9218301601344749,-0.0658066957556823,1
47,-1.4258702749689869,0.23404812073767134,1
48,-2.725191201128809,0.45597414655253904,1
49,0.4366606365713219,1.3069944431086136,0
50,-0.4104908063876824,1.1028440497552283,0
51,0.09186127414910544,-1.3244965667626862,2
52,0.30820826224424414,2.5700762831605237,0
53,-0.9531941789595912,-0.2560197893926076,1
54,0.5018662949168226,-2.023434742438648,2
55,0.16392814703421454,-0.2989464771622739,0
56,-0.4339033487571542,-1.0310548387056626,2
57,-0.41087084393219264,0.7577603073716278,0
58,-1.0144674790483343,0.8553232725357606,1
59,2.0659209233648266,-2.529987273576654,2
60,-1.3054215866253542,-0.10426946986158318,1
61,-3.248183668927823,-0.3346156706360861,1
